date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-23,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-24,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-25,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-26,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-27,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-28,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-29,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-30,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-01-31,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-01,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-02,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-03,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-04,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-05,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-06,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-07,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-08,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
2020-02-09,Arkansas,Bradley,5011.0,0,0,0.0,0.0,1,1,0,652.6933333333334,10763
