date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-23,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-24,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-25,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-26,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-27,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-28,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-29,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-30,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-01-31,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-01,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-02,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-03,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-04,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-05,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-06,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-07,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-08,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-09,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-10,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-11,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-12,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-13,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-14,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-15,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-16,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-17,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-18,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-19,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-20,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-21,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-22,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-23,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-24,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-25,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-26,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-27,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-28,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-02-29,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-01,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-02,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-03,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-04,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-05,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-06,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-07,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-08,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-09,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-10,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-11,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-12,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-13,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-14,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-15,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-16,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-17,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-18,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-19,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-20,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-21,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-22,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-23,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-24,Arkansas,Hempstead,5057.0,1,0,1.0,0.0,1,1,0,652.6933333333334,21532
2020-03-25,Arkansas,Hempstead,5057.0,1,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-26,Arkansas,Hempstead,5057.0,1,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-27,Arkansas,Hempstead,5057.0,1,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-28,Arkansas,Hempstead,5057.0,0,0,-1.0,0.0,1,1,0,652.6933333333334,21532
2020-03-29,Arkansas,Hempstead,5057.0,0,0,0.0,0.0,1,1,0,652.6933333333334,21532
2020-03-30,Arkansas,Hempstead,5057.0,1,0,1.0,0.0,1,1,0,652.6933333333334,21532
