date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-23,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-24,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-25,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-26,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-27,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-28,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-29,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-30,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-01-31,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-01,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-02,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-03,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-04,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-05,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-06,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-07,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-08,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-09,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-10,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-11,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-12,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-13,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-14,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-15,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-16,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-17,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-18,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-19,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-20,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-21,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-22,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-23,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-24,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-25,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-26,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-27,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-28,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-02-29,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-01,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-02,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-03,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-04,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-05,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-06,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-07,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-08,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-09,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-10,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-11,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-12,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-13,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-14,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-15,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-16,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-17,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-18,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-19,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-20,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-21,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-22,California,Humboldt,6023.0,0,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-23,California,Humboldt,6023.0,1,0,1.0,0.0,1,1,0,51662.0,135558
2020-03-24,California,Humboldt,6023.0,1,0,0.0,0.0,1,1,0,51662.0,135558
2020-03-25,California,Humboldt,6023.0,2,0,1.0,0.0,1,1,0,51662.0,135558
2020-03-26,California,Humboldt,6023.0,7,0,5.0,0.0,1,1,0,51662.0,135558
2020-03-27,California,Humboldt,6023.0,8,0,1.0,0.0,1,1,0,51662.0,135558
2020-03-28,California,Humboldt,6023.0,17,0,9.0,0.0,2,2,0,51662.0,135558
2020-03-29,California,Humboldt,6023.0,8,0,-9.0,0.0,2,2,0,51662.0,135558
2020-03-30,California,Humboldt,6023.0,10,0,2.0,0.0,2,2,0,51662.0,135558
2020-03-31,California,Humboldt,6023.0,17,0,7.0,0.0,3,3,0,51662.0,135558
2020-04-01,California,Humboldt,6023.0,18,0,1.0,0.0,3,3,0,51662.0,135558
2020-04-02,California,Humboldt,6023.0,22,0,4.0,0.0,3,3,0,51662.0,135558
2020-04-03,California,Humboldt,6023.0,33,0,11.0,0.0,4,4,0,51662.0,135558
2020-04-04,California,Humboldt,6023.0,28,0,-5.0,0.0,4,4,0,51662.0,135558
2020-04-05,California,Humboldt,6023.0,28,0,0.0,0.0,4,4,0,51662.0,135558
2020-04-06,California,Humboldt,6023.0,36,0,8.0,0.0,4,4,0,51662.0,135558
2020-04-07,California,Humboldt,6023.0,39,0,3.0,0.0,5,4,0,51662.0,135558
2020-04-08,California,Humboldt,6023.0,39,0,0.0,0.0,5,5,0,51662.0,135558
2020-04-09,California,Humboldt,6023.0,35,0,-4.0,0.0,5,5,0,51662.0,135558
2020-04-10,California,Humboldt,6023.0,35,0,0.0,0.0,5,5,0,51662.0,135558
2020-04-11,California,Humboldt,6023.0,37,0,2.0,0.0,9,9,0,51662.0,135558
2020-04-12,California,Humboldt,6023.0,42,0,5.0,0.0,9,9,0,51662.0,135558
2020-04-13,California,Humboldt,6023.0,43,0,1.0,0.0,5,5,0,51662.0,135558
2020-04-14,California,Humboldt,6023.0,43,0,0.0,0.0,9,9,0,51662.0,135558
2020-04-15,California,Humboldt,6023.0,46,0,3.0,0.0,9,9,0,51662.0,135558
2020-04-16,California,Humboldt,6023.0,46,0,0.0,0.0,9,9,0,51662.0,135558
2020-04-17,California,Humboldt,6023.0,51,0,5.0,0.0,9,8,0,51662.0,135558
2020-04-18,California,Humboldt,6023.0,51,0,0.0,0.0,9,8,0,51662.0,135558
