date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-23,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-24,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-25,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-26,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-27,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-28,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-29,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-30,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-01-31,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-01,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-02,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-03,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-04,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-05,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-06,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-07,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-08,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-09,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-10,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-11,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-12,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-13,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-14,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-15,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-16,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-17,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-18,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-19,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-20,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-21,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-22,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-23,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-24,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-25,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-26,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-27,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-28,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-02-29,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-01,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-02,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-03,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-04,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-05,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-06,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-07,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-08,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-09,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-10,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-11,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-12,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-13,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-14,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-15,California,San Bernardino,6071.0,0,0,0.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-16,California,San Bernardino,6071.0,1,0,1.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-17,California,San Bernardino,6071.0,2,0,1.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-18,California,San Bernardino,6071.0,3,0,1.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-19,California,San Bernardino,6071.0,7,0,4.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-20,California,San Bernardino,6071.0,9,0,2.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-21,California,San Bernardino,6071.0,13,0,4.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-22,California,San Bernardino,6071.0,16,0,3.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-23,California,San Bernardino,6071.0,17,0,1.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-24,California,San Bernardino,6071.0,27,0,10.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-25,California,San Bernardino,6071.0,46,1,19.0,1.0,1,1,0,1386.896551724138,2180085
2020-03-26,California,San Bernardino,6071.0,57,1,11.0,0.0,1,1,0,1386.896551724138,2180085
2020-03-27,California,San Bernardino,6071.0,77,2,20.0,1.0,1,1,0,1386.896551724138,2180085
2020-03-28,California,San Bernardino,6071.0,162,4,85.0,2.0,2,2,0,1386.896551724138,2180085
2020-03-29,California,San Bernardino,6071.0,94,2,-68.0,-2.0,2,2,0,1386.896551724138,2180085
2020-03-30,California,San Bernardino,6071.0,145,4,51.0,2.0,2,2,0,1386.896551724138,2180085
2020-03-31,California,San Bernardino,6071.0,193,5,48.0,1.0,3,3,0,1386.896551724138,2180085
2020-04-01,California,San Bernardino,6071.0,245,5,52.0,0.0,3,3,0,1386.896551724138,2180085
2020-04-02,California,San Bernardino,6071.0,335,8,90.0,3.0,3,3,0,1386.896551724138,2180085
2020-04-03,California,San Bernardino,6071.0,356,11,21.0,3.0,4,4,0,1386.896551724138,2180085
2020-04-04,California,San Bernardino,6071.0,373,13,17.0,2.0,4,4,0,1386.896551724138,2180085
2020-04-05,California,San Bernardino,6071.0,375,13,2.0,0.0,4,4,0,1386.896551724138,2180085
2020-04-06,California,San Bernardino,6071.0,550,13,175.0,0.0,4,4,0,1386.896551724138,2180085
2020-04-07,California,San Bernardino,6071.0,554,19,4.0,6.0,5,4,0,1386.896551724138,2180085
2020-04-08,California,San Bernardino,6071.0,635,22,81.0,3.0,5,5,0,1386.896551724138,2180085
2020-04-09,California,San Bernardino,6071.0,717,27,82.0,5.0,5,5,0,1386.896551724138,2180085
2020-04-10,California,San Bernardino,6071.0,779,27,62.0,0.0,5,5,0,1386.896551724138,2180085
