date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-23,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-24,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-25,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-26,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-27,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-28,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-29,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-30,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-01-31,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-01,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-02,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-03,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-04,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-05,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-06,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-07,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-08,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-09,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-10,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-11,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-12,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-13,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-14,California,Stanislaus,6099.0,0,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-15,California,Stanislaus,6099.0,2,0,2.0,0.0,1,1,0,63037.0,550660
2020-02-16,California,Stanislaus,6099.0,2,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-17,California,Stanislaus,6099.0,2,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-18,California,Stanislaus,6099.0,2,0,0.0,0.0,1,1,0,63037.0,550660
2020-02-19,California,Stanislaus,6099.0,2,0,0.0,0.0,1,1,0,63037.0,550660
