date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-23,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-24,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-25,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-26,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-27,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-28,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-29,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-30,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-01-31,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-01,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-02,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-03,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-04,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-05,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-06,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-07,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-08,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-09,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-10,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-11,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-12,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-13,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-14,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-15,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-16,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
2020-02-17,Colorado,Conejos,8021.0,0,0,0.0,0.0,1,1,0,1205.109375,8205
