date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-23,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-24,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-25,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-26,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-27,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-28,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-29,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-30,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-01-31,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-01,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-02,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-03,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-04,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-05,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-06,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-07,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-08,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-09,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-10,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-11,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-12,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-13,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-14,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-15,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-16,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-17,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-18,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-19,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-20,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-21,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-22,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-23,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-24,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-25,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-26,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-27,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-28,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-02-29,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-01,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-02,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-03,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-04,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-05,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-06,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-07,Florida,Okaloosa,12091.0,0,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-08,Florida,Okaloosa,12091.0,1,0,1.0,0.0,4,4,0,64222.0,210738
2020-03-09,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-10,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-11,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-12,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-13,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-14,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-15,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-16,Florida,Okaloosa,12091.0,1,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-17,Florida,Okaloosa,12091.0,2,0,1.0,0.0,4,4,0,64222.0,210738
2020-03-18,Florida,Okaloosa,12091.0,3,0,1.0,0.0,4,4,0,64222.0,210738
2020-03-19,Florida,Okaloosa,12091.0,5,0,2.0,0.0,4,4,0,64222.0,210738
2020-03-20,Florida,Okaloosa,12091.0,7,0,2.0,0.0,4,4,0,64222.0,210738
2020-03-21,Florida,Okaloosa,12091.0,12,0,5.0,0.0,4,4,0,64222.0,210738
2020-03-22,Florida,Okaloosa,12091.0,14,0,2.0,0.0,4,4,0,64222.0,210738
2020-03-23,Florida,Okaloosa,12091.0,14,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-24,Florida,Okaloosa,12091.0,14,0,0.0,0.0,4,4,0,64222.0,210738
2020-03-25,Florida,Okaloosa,12091.0,16,0,2.0,0.0,4,4,0,64222.0,210738
2020-03-26,Florida,Okaloosa,12091.0,21,0,5.0,0.0,4,4,0,64222.0,210738
2020-03-27,Florida,Okaloosa,12091.0,23,0,2.0,0.0,4,4,0,64222.0,210738
2020-03-28,Florida,Okaloosa,12091.0,27,0,4.0,0.0,4,4,0,64222.0,210738
2020-03-29,Florida,Okaloosa,12091.0,31,0,4.0,0.0,4,4,0,64222.0,210738
2020-03-30,Florida,Okaloosa,12091.0,35,0,4.0,0.0,4,4,0,64222.0,210738
2020-03-31,Florida,Okaloosa,12091.0,39,1,4.0,1.0,4,4,0,64222.0,210738
2020-04-01,Florida,Okaloosa,12091.0,39,1,0.0,0.0,4,4,0,64222.0,210738
2020-04-02,Florida,Okaloosa,12091.0,51,1,12.0,0.0,4,4,0,64222.0,210738
2020-04-03,Florida,Okaloosa,12091.0,54,1,3.0,0.0,4,4,0,64222.0,210738
2020-04-04,Florida,Okaloosa,12091.0,59,1,5.0,0.0,4,4,0,64222.0,210738
2020-04-05,Florida,Okaloosa,12091.0,62,1,3.0,0.0,4,4,0,64222.0,210738
2020-04-06,Florida,Okaloosa,12091.0,65,1,3.0,0.0,4,4,0,64222.0,210738
2020-04-07,Florida,Okaloosa,12091.0,69,1,4.0,0.0,4,4,0,64222.0,210738
2020-04-08,Florida,Okaloosa,12091.0,78,1,9.0,0.0,4,4,0,64222.0,210738
2020-04-09,Florida,Okaloosa,12091.0,80,1,2.0,0.0,4,4,0,64222.0,210738
2020-04-10,Florida,Okaloosa,12091.0,83,1,3.0,0.0,5,4,0,64222.0,210738
2020-04-11,Florida,Okaloosa,12091.0,91,1,8.0,0.0,5,4,0,64222.0,210738
2020-04-12,Florida,Okaloosa,12091.0,101,1,10.0,0.0,5,4,0,64222.0,210738
2020-04-13,Florida,Okaloosa,12091.0,103,1,2.0,0.0,5,4,0,64222.0,210738
2020-04-14,Florida,Okaloosa,12091.0,104,1,1.0,0.0,5,4,0,64222.0,210738
2020-04-15,Florida,Okaloosa,12091.0,107,1,3.0,0.0,5,4,0,64222.0,210738
2020-04-16,Florida,Okaloosa,12091.0,117,1,10.0,0.0,5,5,0,64222.0,210738
2020-04-17,Florida,Okaloosa,12091.0,124,1,7.0,0.0,5,5,0,64222.0,210738
2020-04-18,Florida,Okaloosa,12091.0,127,1,3.0,0.0,5,5,0,64222.0,210738
2020-04-19,Florida,Okaloosa,12091.0,131,3,4.0,2.0,5,5,0,64222.0,210738
2020-04-20,Florida,Okaloosa,12091.0,131,3,0.0,0.0,5,5,0,64222.0,210738
2020-04-21,Florida,Okaloosa,12091.0,134,3,3.0,0.0,5,5,0,64222.0,210738
2020-04-22,Florida,Okaloosa,12091.0,135,3,1.0,0.0,5,5,0,64222.0,210738
2020-04-23,Florida,Okaloosa,12091.0,141,3,6.0,0.0,5,5,0,64222.0,210738
2020-04-24,Florida,Okaloosa,12091.0,145,3,4.0,0.0,5,5,0,64222.0,210738
2020-04-25,Florida,Okaloosa,12091.0,149,3,4.0,0.0,5,5,0,64222.0,210738
2020-04-26,Florida,Okaloosa,12091.0,149,3,0.0,0.0,5,5,0,64222.0,210738
2020-04-27,Florida,Okaloosa,12091.0,149,3,0.0,0.0,5,5,0,64222.0,210738
2020-04-28,Florida,Okaloosa,12091.0,152,3,3.0,0.0,5,5,0,64222.0,210738
2020-04-29,Florida,Okaloosa,12091.0,153,3,1.0,0.0,5,5,0,64222.0,210738
2020-04-30,Florida,Okaloosa,12091.0,154,4,1.0,1.0,5,5,0,64222.0,210738
2020-05-01,Florida,Okaloosa,12091.0,156,4,2.0,0.0,5,5,0,64222.0,210738
2020-05-02,Florida,Okaloosa,12091.0,158,5,2.0,1.0,5,5,0,64222.0,210738
2020-05-03,Florida,Okaloosa,12091.0,160,5,2.0,0.0,5,5,0,64222.0,210738
2020-05-04,Florida,Okaloosa,12091.0,160,5,0.0,0.0,5,5,0,64222.0,210738
2020-05-05,Florida,Okaloosa,12091.0,161,5,1.0,0.0,5,5,0,64222.0,210738
2020-05-06,Florida,Okaloosa,12091.0,162,5,1.0,0.0,5,5,0,64222.0,210738
2020-05-07,Florida,Okaloosa,12091.0,163,5,1.0,0.0,5,5,0,64222.0,210738
2020-05-08,Florida,Okaloosa,12091.0,165,5,2.0,0.0,5,5,0,64222.0,210738
2020-05-09,Florida,Okaloosa,12091.0,168,5,3.0,0.0,5,5,0,64222.0,210738
2020-05-10,Florida,Okaloosa,12091.0,169,5,1.0,0.0,5,5,0,64222.0,210738
2020-05-11,Florida,Okaloosa,12091.0,169,5,0.0,0.0,5,5,0,64222.0,210738
2020-05-12,Florida,Okaloosa,12091.0,169,5,0.0,0.0,5,5,0,64222.0,210738
2020-05-13,Florida,Okaloosa,12091.0,170,5,1.0,0.0,5,5,0,64222.0,210738
2020-05-14,Florida,Okaloosa,12091.0,172,5,2.0,0.0,5,5,0,64222.0,210738
2020-05-15,Florida,Okaloosa,12091.0,174,5,2.0,0.0,5,5,0,64222.0,210738
2020-05-16,Florida,Okaloosa,12091.0,177,5,3.0,0.0,5,5,0,64222.0,210738
2020-05-17,Florida,Okaloosa,12091.0,177,5,0.0,0.0,5,5,0,64222.0,210738
2020-05-18,Florida,Okaloosa,12091.0,178,5,1.0,0.0,5,5,0,64222.0,210738
2020-05-19,Florida,Okaloosa,12091.0,180,5,2.0,0.0,5,5,0,64222.0,210738
2020-05-20,Florida,Okaloosa,12091.0,184,5,4.0,0.0,5,5,0,64222.0,210738
2020-05-21,Florida,Okaloosa,12091.0,184,6,0.0,1.0,5,5,0,64222.0,210738
2020-05-22,Florida,Okaloosa,12091.0,185,6,1.0,0.0,5,5,0,64222.0,210738
2020-05-23,Florida,Okaloosa,12091.0,192,6,7.0,0.0,5,5,0,64222.0,210738
2020-05-24,Florida,Okaloosa,12091.0,193,6,1.0,0.0,5,5,0,64222.0,210738
2020-05-25,Florida,Okaloosa,12091.0,193,6,0.0,0.0,5,5,0,64222.0,210738
2020-05-26,Florida,Okaloosa,12091.0,194,6,1.0,0.0,5,5,0,64222.0,210738
2020-05-27,Florida,Okaloosa,12091.0,198,6,4.0,0.0,5,5,0,64222.0,210738
2020-05-28,Florida,Okaloosa,12091.0,199,6,1.0,0.0,5,5,0,64222.0,210738
2020-05-29,Florida,Okaloosa,12091.0,207,6,8.0,0.0,5,5,0,64222.0,210738
2020-05-30,Florida,Okaloosa,12091.0,212,6,5.0,0.0,5,5,0,64222.0,210738
2020-05-31,Florida,Okaloosa,12091.0,223,6,11.0,0.0,5,5,0,64222.0,210738
2020-06-01,Florida,Okaloosa,12091.0,232,6,9.0,0.0,5,5,0,64222.0,210738
2020-06-02,Florida,Okaloosa,12091.0,235,6,3.0,0.0,5,5,0,64222.0,210738
2020-06-03,Florida,Okaloosa,12091.0,236,6,1.0,0.0,5,5,0,64222.0,210738
2020-06-04,Florida,Okaloosa,12091.0,241,6,5.0,0.0,5,5,0,64222.0,210738
2020-06-05,Florida,Okaloosa,12091.0,250,6,9.0,0.0,5,5,0,64222.0,210738
2020-06-06,Florida,Okaloosa,12091.0,253,6,3.0,0.0,5,5,0,64222.0,210738
2020-06-07,Florida,Okaloosa,12091.0,262,6,9.0,0.0,5,5,0,64222.0,210738
2020-06-08,Florida,Okaloosa,12091.0,271,6,9.0,0.0,5,5,0,64222.0,210738
2020-06-09,Florida,Okaloosa,12091.0,274,6,3.0,0.0,5,5,0,64222.0,210738
2020-06-10,Florida,Okaloosa,12091.0,287,6,13.0,0.0,5,5,0,64222.0,210738
2020-06-11,Florida,Okaloosa,12091.0,294,6,7.0,0.0,5,5,0,64222.0,210738
2020-06-12,Florida,Okaloosa,12091.0,312,6,18.0,0.0,5,5,0,64222.0,210738
2020-06-13,Florida,Okaloosa,12091.0,315,6,3.0,0.0,5,5,0,64222.0,210738
2020-06-14,Florida,Okaloosa,12091.0,332,6,17.0,0.0,5,5,0,64222.0,210738
2020-06-15,Florida,Okaloosa,12091.0,337,6,5.0,0.0,5,5,0,64222.0,210738
2020-06-16,Florida,Okaloosa,12091.0,344,6,7.0,0.0,5,5,0,64222.0,210738
2020-06-17,Florida,Okaloosa,12091.0,351,6,7.0,0.0,5,5,0,64222.0,210738
2020-06-18,Florida,Okaloosa,12091.0,366,6,15.0,0.0,5,5,0,64222.0,210738
2020-06-19,Florida,Okaloosa,12091.0,391,6,25.0,0.0,6,5,0,64222.0,210738
2020-06-20,Florida,Okaloosa,12091.0,398,6,7.0,0.0,6,5,0,64222.0,210738
2020-06-21,Florida,Okaloosa,12091.0,400,6,2.0,0.0,6,5,0,64222.0,210738
2020-06-22,Florida,Okaloosa,12091.0,421,6,21.0,0.0,6,5,0,64222.0,210738
2020-06-23,Florida,Okaloosa,12091.0,436,6,15.0,0.0,6,5,0,64222.0,210738
2020-06-24,Florida,Okaloosa,12091.0,457,6,21.0,0.0,6,5,0,64222.0,210738
2020-06-25,Florida,Okaloosa,12091.0,500,6,43.0,0.0,6,5,0,64222.0,210738
2020-06-26,Florida,Okaloosa,12091.0,541,6,41.0,0.0,6,5,0,64222.0,210738
2020-06-27,Florida,Okaloosa,12091.0,563,6,22.0,0.0,6,5,0,64222.0,210738
2020-06-28,Florida,Okaloosa,12091.0,601,6,38.0,0.0,6,6,0,64222.0,210738
2020-06-29,Florida,Okaloosa,12091.0,636,6,35.0,0.0,6,6,0,64222.0,210738
2020-06-30,Florida,Okaloosa,12091.0,666,6,30.0,0.0,6,6,0,64222.0,210738
2020-07-01,Florida,Okaloosa,12091.0,704,7,38.0,1.0,6,6,0,64222.0,210738
2020-07-02,Florida,Okaloosa,12091.0,770,8,66.0,1.0,6,6,0,64222.0,210738
2020-07-03,Florida,Okaloosa,12091.0,820,8,50.0,0.0,6,6,0,64222.0,210738
2020-07-04,Florida,Okaloosa,12091.0,880,8,60.0,0.0,6,6,0,64222.0,210738
