date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-23,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-24,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-25,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-26,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-27,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-28,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-29,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-30,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-01-31,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-01,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-02,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-03,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-04,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-05,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-06,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-07,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-08,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-09,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-10,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-11,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-12,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-13,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-14,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-15,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-16,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-17,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-18,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-19,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-20,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-21,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-22,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-23,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-24,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-25,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-26,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-27,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-28,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-02-29,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-01,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-02,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-03,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-04,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-05,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-06,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-07,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-08,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-09,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-10,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-11,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-12,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-13,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-14,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-15,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-16,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-17,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-18,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-19,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-20,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-21,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-22,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-23,Georgia,Meriwether,13199.0,0,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-24,Georgia,Meriwether,13199.0,1,0,1.0,0.0,1,0,0,389.811320754717,21167
2020-03-25,Georgia,Meriwether,13199.0,1,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-26,Georgia,Meriwether,13199.0,1,0,0.0,0.0,1,0,0,389.811320754717,21167
2020-03-27,Georgia,Meriwether,13199.0,3,0,2.0,0.0,1,1,0,389.811320754717,21167
2020-03-28,Georgia,Meriwether,13199.0,3,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-03-29,Georgia,Meriwether,13199.0,5,0,2.0,0.0,1,1,0,389.811320754717,21167
2020-03-30,Georgia,Meriwether,13199.0,6,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-03-31,Georgia,Meriwether,13199.0,6,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-01,Georgia,Meriwether,13199.0,7,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-02,Georgia,Meriwether,13199.0,9,0,2.0,0.0,1,1,0,389.811320754717,21167
2020-04-03,Georgia,Meriwether,13199.0,10,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-04,Georgia,Meriwether,13199.0,10,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-05,Georgia,Meriwether,13199.0,11,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-06,Georgia,Meriwether,13199.0,13,0,2.0,0.0,1,1,0,389.811320754717,21167
2020-04-07,Georgia,Meriwether,13199.0,17,0,4.0,0.0,1,1,0,389.811320754717,21167
2020-04-08,Georgia,Meriwether,13199.0,18,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-09,Georgia,Meriwether,13199.0,18,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-10,Georgia,Meriwether,13199.0,18,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-11,Georgia,Meriwether,13199.0,22,0,4.0,0.0,1,1,0,389.811320754717,21167
2020-04-12,Georgia,Meriwether,13199.0,23,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-13,Georgia,Meriwether,13199.0,23,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-14,Georgia,Meriwether,13199.0,24,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-15,Georgia,Meriwether,13199.0,26,0,2.0,0.0,1,1,0,389.811320754717,21167
2020-04-16,Georgia,Meriwether,13199.0,29,0,3.0,0.0,1,1,0,389.811320754717,21167
2020-04-17,Georgia,Meriwether,13199.0,39,0,10.0,0.0,1,1,0,389.811320754717,21167
2020-04-18,Georgia,Meriwether,13199.0,40,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-19,Georgia,Meriwether,13199.0,42,0,2.0,0.0,1,1,0,389.811320754717,21167
2020-04-20,Georgia,Meriwether,13199.0,46,0,4.0,0.0,1,1,0,389.811320754717,21167
2020-04-21,Georgia,Meriwether,13199.0,47,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-22,Georgia,Meriwether,13199.0,48,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-23,Georgia,Meriwether,13199.0,49,0,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-24,Georgia,Meriwether,13199.0,49,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-25,Georgia,Meriwether,13199.0,49,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-26,Georgia,Meriwether,13199.0,49,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-27,Georgia,Meriwether,13199.0,49,0,0.0,0.0,1,1,0,389.811320754717,21167
2020-04-28,Georgia,Meriwether,13199.0,53,1,4.0,1.0,1,1,0,389.811320754717,21167
2020-04-29,Georgia,Meriwether,13199.0,54,1,1.0,0.0,1,1,0,389.811320754717,21167
2020-04-30,Georgia,Meriwether,13199.0,54,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-01,Georgia,Meriwether,13199.0,54,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-02,Georgia,Meriwether,13199.0,54,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-03,Georgia,Meriwether,13199.0,54,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-04,Georgia,Meriwether,13199.0,56,1,2.0,0.0,1,1,0,389.811320754717,21167
2020-05-05,Georgia,Meriwether,13199.0,57,1,1.0,0.0,1,1,0,389.811320754717,21167
2020-05-06,Georgia,Meriwether,13199.0,59,1,2.0,0.0,1,1,0,389.811320754717,21167
2020-05-07,Georgia,Meriwether,13199.0,61,1,2.0,0.0,1,1,0,389.811320754717,21167
2020-05-08,Georgia,Meriwether,13199.0,62,1,1.0,0.0,1,1,0,389.811320754717,21167
2020-05-09,Georgia,Meriwether,13199.0,65,1,3.0,0.0,1,1,0,389.811320754717,21167
2020-05-10,Georgia,Meriwether,13199.0,65,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-11,Georgia,Meriwether,13199.0,66,1,1.0,0.0,1,1,0,389.811320754717,21167
2020-05-12,Georgia,Meriwether,13199.0,66,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-13,Georgia,Meriwether,13199.0,68,1,2.0,0.0,1,1,0,389.811320754717,21167
2020-05-14,Georgia,Meriwether,13199.0,72,1,4.0,0.0,1,1,0,389.811320754717,21167
2020-05-15,Georgia,Meriwether,13199.0,73,1,1.0,0.0,1,1,0,389.811320754717,21167
2020-05-16,Georgia,Meriwether,13199.0,72,1,-1.0,0.0,1,1,0,389.811320754717,21167
2020-05-17,Georgia,Meriwether,13199.0,72,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-18,Georgia,Meriwether,13199.0,70,1,-2.0,0.0,1,1,0,389.811320754717,21167
2020-05-19,Georgia,Meriwether,13199.0,70,1,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-20,Georgia,Meriwether,13199.0,73,1,3.0,0.0,1,1,0,389.811320754717,21167
2020-05-21,Georgia,Meriwether,13199.0,76,2,3.0,1.0,1,1,0,389.811320754717,21167
2020-05-22,Georgia,Meriwether,13199.0,78,2,2.0,0.0,1,1,0,389.811320754717,21167
2020-05-23,Georgia,Meriwether,13199.0,78,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-24,Georgia,Meriwether,13199.0,78,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-25,Georgia,Meriwether,13199.0,78,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-26,Georgia,Meriwether,13199.0,78,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-05-27,Georgia,Meriwether,13199.0,81,2,3.0,0.0,1,1,0,389.811320754717,21167
2020-05-28,Georgia,Meriwether,13199.0,82,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-05-29,Georgia,Meriwether,13199.0,84,2,2.0,0.0,1,1,0,389.811320754717,21167
2020-05-30,Georgia,Meriwether,13199.0,85,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-05-31,Georgia,Meriwether,13199.0,85,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-06-01,Georgia,Meriwether,13199.0,86,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-06-02,Georgia,Meriwether,13199.0,87,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-06-03,Georgia,Meriwether,13199.0,95,2,8.0,0.0,1,1,0,389.811320754717,21167
2020-06-04,Georgia,Meriwether,13199.0,99,2,4.0,0.0,1,1,0,389.811320754717,21167
2020-06-05,Georgia,Meriwether,13199.0,105,2,6.0,0.0,1,1,0,389.811320754717,21167
2020-06-06,Georgia,Meriwether,13199.0,106,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-06-07,Georgia,Meriwether,13199.0,106,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-06-08,Georgia,Meriwether,13199.0,109,2,3.0,0.0,1,1,0,389.811320754717,21167
2020-06-09,Georgia,Meriwether,13199.0,110,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-06-10,Georgia,Meriwether,13199.0,114,2,4.0,0.0,1,1,0,389.811320754717,21167
2020-06-11,Georgia,Meriwether,13199.0,119,2,5.0,0.0,1,1,0,389.811320754717,21167
2020-06-12,Georgia,Meriwether,13199.0,123,2,4.0,0.0,1,1,0,389.811320754717,21167
2020-06-13,Georgia,Meriwether,13199.0,125,3,2.0,1.0,1,1,0,389.811320754717,21167
2020-06-14,Georgia,Meriwether,13199.0,125,3,0.0,0.0,1,1,0,389.811320754717,21167
2020-06-15,Georgia,Meriwether,13199.0,127,3,2.0,0.0,1,1,0,389.811320754717,21167
2020-06-16,Georgia,Meriwether,13199.0,133,3,6.0,0.0,1,1,0,389.811320754717,21167
2020-06-17,Georgia,Meriwether,13199.0,135,3,2.0,0.0,1,1,0,389.811320754717,21167
2020-06-18,Georgia,Meriwether,13199.0,139,3,4.0,0.0,1,1,0,389.811320754717,21167
2020-06-19,Georgia,Meriwether,13199.0,144,2,5.0,-1.0,1,1,0,389.811320754717,21167
2020-06-20,Georgia,Meriwether,13199.0,148,2,4.0,0.0,1,1,0,389.811320754717,21167
2020-06-21,Georgia,Meriwether,13199.0,149,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-06-22,Georgia,Meriwether,13199.0,154,2,5.0,0.0,1,1,0,389.811320754717,21167
2020-06-23,Georgia,Meriwether,13199.0,160,2,6.0,0.0,1,1,0,389.811320754717,21167
2020-06-24,Georgia,Meriwether,13199.0,165,2,5.0,0.0,1,1,0,389.811320754717,21167
2020-06-25,Georgia,Meriwether,13199.0,167,2,2.0,0.0,1,1,0,389.811320754717,21167
2020-06-26,Georgia,Meriwether,13199.0,174,2,7.0,0.0,1,1,0,389.811320754717,21167
2020-06-27,Georgia,Meriwether,13199.0,175,2,1.0,0.0,1,1,0,389.811320754717,21167
2020-06-28,Georgia,Meriwether,13199.0,177,2,2.0,0.0,1,1,0,389.811320754717,21167
2020-06-29,Georgia,Meriwether,13199.0,177,2,0.0,0.0,1,1,0,389.811320754717,21167
2020-06-30,Georgia,Meriwether,13199.0,183,2,6.0,0.0,1,1,0,389.811320754717,21167
2020-07-01,Georgia,Meriwether,13199.0,187,3,4.0,1.0,1,1,0,389.811320754717,21167
2020-07-02,Georgia,Meriwether,13199.0,195,3,8.0,0.0,1,1,0,389.811320754717,21167
