date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-23,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-24,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-25,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-26,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-27,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-28,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-29,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-30,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-01-31,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-01,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-02,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-03,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-04,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-05,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-06,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-07,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-08,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-09,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-10,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-11,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-12,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-13,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-14,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-15,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-16,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-17,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-18,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-19,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-20,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-21,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-22,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-23,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-24,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-25,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-26,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-27,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-28,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-02-29,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-01,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-02,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-03,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-04,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-05,Georgia,Polk,13233.0,0,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-06,Georgia,Polk,13233.0,1,0,1.0,0.0,1,0,0,389.811320754717,19964
2020-03-07,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-08,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-09,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-10,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-11,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-12,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-13,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-14,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-15,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-16,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-17,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-18,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
2020-03-19,Georgia,Polk,13233.0,1,0,0.0,0.0,1,0,0,389.811320754717,19964
