date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-23,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-24,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-25,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-26,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-27,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-28,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-29,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-30,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-01-31,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-01,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-02,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-03,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-04,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-05,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-06,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-07,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-08,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-09,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-10,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-11,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-12,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-13,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-14,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-15,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-16,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-17,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-18,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-19,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-20,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-21,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-22,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-23,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-24,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-25,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-26,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-27,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-28,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-02-29,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-01,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-02,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-03,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-04,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-05,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-06,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-07,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-08,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-09,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-10,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-11,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-12,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-13,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-14,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-15,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-16,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-17,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-18,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-19,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-20,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-21,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-22,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-23,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-24,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-25,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-26,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-27,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-28,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-29,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-30,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-03-31,Illinois,Ogle,17141.0,0,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-04-01,Illinois,Ogle,17141.0,1,0,1.0,0.0,4,4,0,678.3039215686274,50643
2020-04-02,Illinois,Ogle,17141.0,1,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-04-03,Illinois,Ogle,17141.0,1,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-04-04,Illinois,Ogle,17141.0,4,0,3.0,0.0,4,4,0,678.3039215686274,50643
2020-04-05,Illinois,Ogle,17141.0,5,0,1.0,0.0,4,4,0,678.3039215686274,50643
2020-04-06,Illinois,Ogle,17141.0,7,0,2.0,0.0,4,4,0,678.3039215686274,50643
2020-04-07,Illinois,Ogle,17141.0,10,0,3.0,0.0,4,4,0,678.3039215686274,50643
2020-04-08,Illinois,Ogle,17141.0,12,0,2.0,0.0,4,4,0,678.3039215686274,50643
2020-04-09,Illinois,Ogle,17141.0,14,0,2.0,0.0,4,4,0,678.3039215686274,50643
2020-04-10,Illinois,Ogle,17141.0,16,0,2.0,0.0,4,4,0,678.3039215686274,50643
2020-04-11,Illinois,Ogle,17141.0,16,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-04-12,Illinois,Ogle,17141.0,18,0,2.0,0.0,4,4,0,678.3039215686274,50643
2020-04-13,Illinois,Ogle,17141.0,26,0,8.0,0.0,4,4,0,678.3039215686274,50643
2020-04-14,Illinois,Ogle,17141.0,26,0,0.0,0.0,4,4,0,678.3039215686274,50643
2020-04-15,Illinois,Ogle,17141.0,28,1,2.0,1.0,4,4,0,678.3039215686274,50643
2020-04-16,Illinois,Ogle,17141.0,29,1,1.0,0.0,5,4,0,678.3039215686274,50643
2020-04-17,Illinois,Ogle,17141.0,40,1,11.0,0.0,5,5,0,678.3039215686274,50643
2020-04-18,Illinois,Ogle,17141.0,48,1,8.0,0.0,4,4,0,678.3039215686274,50643
2020-04-19,Illinois,Ogle,17141.0,48,1,0.0,0.0,4,4,0,678.3039215686274,50643
2020-04-20,Illinois,Ogle,17141.0,58,1,10.0,0.0,5,5,0,678.3039215686274,50643
2020-04-21,Illinois,Ogle,17141.0,59,1,1.0,0.0,5,5,0,678.3039215686274,50643
2020-04-22,Illinois,Ogle,17141.0,71,1,12.0,0.0,5,5,0,678.3039215686274,50643
2020-04-23,Illinois,Ogle,17141.0,71,1,0.0,0.0,5,5,0,678.3039215686274,50643
2020-04-24,Illinois,Ogle,17141.0,75,1,4.0,0.0,5,5,0,678.3039215686274,50643
2020-04-25,Illinois,Ogle,17141.0,85,1,10.0,0.0,5,5,0,678.3039215686274,50643
2020-04-26,Illinois,Ogle,17141.0,87,1,2.0,0.0,5,5,0,678.3039215686274,50643
2020-04-27,Illinois,Ogle,17141.0,105,1,18.0,0.0,5,5,0,678.3039215686274,50643
2020-04-28,Illinois,Ogle,17141.0,110,1,5.0,0.0,5,5,0,678.3039215686274,50643
2020-04-29,Illinois,Ogle,17141.0,111,1,1.0,0.0,5,5,0,678.3039215686274,50643
2020-04-30,Illinois,Ogle,17141.0,119,1,8.0,0.0,5,5,0,678.3039215686274,50643
2020-05-01,Illinois,Ogle,17141.0,122,1,3.0,0.0,5,5,0,678.3039215686274,50643
2020-05-02,Illinois,Ogle,17141.0,122,1,0.0,0.0,5,5,0,678.3039215686274,50643
2020-05-03,Illinois,Ogle,17141.0,129,1,7.0,0.0,5,5,0,678.3039215686274,50643
2020-05-04,Illinois,Ogle,17141.0,132,1,3.0,0.0,5,5,0,678.3039215686274,50643
2020-05-05,Illinois,Ogle,17141.0,133,1,1.0,0.0,5,5,0,678.3039215686274,50643
2020-05-06,Illinois,Ogle,17141.0,137,1,4.0,0.0,5,5,0,678.3039215686274,50643
2020-05-07,Illinois,Ogle,17141.0,139,1,2.0,0.0,5,5,0,678.3039215686274,50643
2020-05-08,Illinois,Ogle,17141.0,141,1,2.0,0.0,5,5,0,678.3039215686274,50643
2020-05-09,Illinois,Ogle,17141.0,148,1,7.0,0.0,5,5,0,678.3039215686274,50643
2020-05-10,Illinois,Ogle,17141.0,149,1,1.0,0.0,4,4,0,678.3039215686274,50643
2020-05-11,Illinois,Ogle,17141.0,149,1,0.0,0.0,4,4,0,678.3039215686274,50643
2020-05-12,Illinois,Ogle,17141.0,160,2,11.0,1.0,5,5,0,678.3039215686274,50643
2020-05-13,Illinois,Ogle,17141.0,160,2,0.0,0.0,5,5,0,678.3039215686274,50643
2020-05-14,Illinois,Ogle,17141.0,163,2,3.0,0.0,5,5,0,678.3039215686274,50643
2020-05-15,Illinois,Ogle,17141.0,165,2,2.0,0.0,5,4,0,678.3039215686274,50643
2020-05-16,Illinois,Ogle,17141.0,169,2,4.0,0.0,4,4,0,678.3039215686274,50643
2020-05-17,Illinois,Ogle,17141.0,170,2,1.0,0.0,4,4,0,678.3039215686274,50643
2020-05-18,Illinois,Ogle,17141.0,172,2,2.0,0.0,4,4,0,678.3039215686274,50643
2020-05-19,Illinois,Ogle,17141.0,173,2,1.0,0.0,4,4,0,678.3039215686274,50643
2020-05-20,Illinois,Ogle,17141.0,174,2,1.0,0.0,4,4,0,678.3039215686274,50643
2020-05-21,Illinois,Ogle,17141.0,178,2,4.0,0.0,4,4,0,678.3039215686274,50643
2020-05-22,Illinois,Ogle,17141.0,185,2,7.0,0.0,4,4,0,678.3039215686274,50643
2020-05-23,Illinois,Ogle,17141.0,185,2,0.0,0.0,4,4,0,678.3039215686274,50643
2020-05-24,Illinois,Ogle,17141.0,190,2,5.0,0.0,4,4,0,678.3039215686274,50643
2020-05-25,Illinois,Ogle,17141.0,192,2,2.0,0.0,4,4,0,678.3039215686274,50643
2020-05-26,Illinois,Ogle,17141.0,192,2,0.0,0.0,4,4,0,678.3039215686274,50643
2020-05-27,Illinois,Ogle,17141.0,193,2,1.0,0.0,4,4,0,678.3039215686274,50643
2020-05-28,Illinois,Ogle,17141.0,200,2,7.0,0.0,4,4,0,678.3039215686274,50643
2020-05-29,Illinois,Ogle,17141.0,202,3,2.0,1.0,4,4,0,678.3039215686274,50643
2020-05-30,Illinois,Ogle,17141.0,203,3,1.0,0.0,3,3,0,678.3039215686274,50643
2020-05-31,Illinois,Ogle,17141.0,206,3,3.0,0.0,3,3,0,678.3039215686274,50643
2020-06-01,Illinois,Ogle,17141.0,211,3,5.0,0.0,3,3,0,678.3039215686274,50643
2020-06-02,Illinois,Ogle,17141.0,214,3,3.0,0.0,3,3,0,678.3039215686274,50643
2020-06-03,Illinois,Ogle,17141.0,214,3,0.0,0.0,3,3,0,678.3039215686274,50643
2020-06-04,Illinois,Ogle,17141.0,223,3,9.0,0.0,3,3,0,678.3039215686274,50643
2020-06-05,Illinois,Ogle,17141.0,225,3,2.0,0.0,3,3,0,678.3039215686274,50643
2020-06-06,Illinois,Ogle,17141.0,223,3,-2.0,0.0,3,3,0,678.3039215686274,50643
2020-06-07,Illinois,Ogle,17141.0,221,3,-2.0,0.0,2,2,0,678.3039215686274,50643
2020-06-08,Illinois,Ogle,17141.0,223,3,2.0,0.0,2,2,0,678.3039215686274,50643
2020-06-09,Illinois,Ogle,17141.0,224,4,1.0,1.0,3,2,0,678.3039215686274,50643
2020-06-10,Illinois,Ogle,17141.0,224,4,0.0,0.0,2,2,0,678.3039215686274,50643
2020-06-11,Illinois,Ogle,17141.0,224,4,0.0,0.0,2,2,0,678.3039215686274,50643
2020-06-12,Illinois,Ogle,17141.0,224,4,0.0,0.0,2,2,0,678.3039215686274,50643
2020-06-13,Illinois,Ogle,17141.0,227,4,3.0,0.0,2,2,0,678.3039215686274,50643
2020-06-14,Illinois,Ogle,17141.0,227,4,0.0,0.0,2,2,0,678.3039215686274,50643
2020-06-15,Illinois,Ogle,17141.0,227,4,0.0,0.0,2,2,0,678.3039215686274,50643
2020-06-16,Illinois,Ogle,17141.0,229,4,2.0,0.0,2,2,0,678.3039215686274,50643
2020-06-17,Illinois,Ogle,17141.0,230,4,1.0,0.0,2,2,0,678.3039215686274,50643
2020-06-18,Illinois,Ogle,17141.0,230,4,0.0,0.0,2,2,0,678.3039215686274,50643
2020-06-19,Illinois,Ogle,17141.0,231,4,1.0,0.0,2,2,0,678.3039215686274,50643
2020-06-20,Illinois,Ogle,17141.0,234,4,3.0,0.0,2,2,0,678.3039215686274,50643
2020-06-21,Illinois,Ogle,17141.0,234,4,0.0,0.0,1,1,0,678.3039215686274,50643
2020-06-22,Illinois,Ogle,17141.0,236,4,2.0,0.0,1,1,0,678.3039215686274,50643
2020-06-23,Illinois,Ogle,17141.0,237,4,1.0,0.0,1,1,0,678.3039215686274,50643
2020-06-24,Illinois,Ogle,17141.0,238,4,1.0,0.0,1,1,0,678.3039215686274,50643
2020-06-25,Illinois,Ogle,17141.0,240,4,2.0,0.0,1,1,0,678.3039215686274,50643
2020-06-26,Illinois,Ogle,17141.0,243,4,3.0,0.0,1,1,0,678.3039215686274,50643
2020-06-27,Illinois,Ogle,17141.0,247,4,4.0,0.0,1,1,0,678.3039215686274,50643
2020-06-28,Illinois,Ogle,17141.0,252,4,5.0,0.0,1,1,0,678.3039215686274,50643
2020-06-29,Illinois,Ogle,17141.0,256,4,4.0,0.0,1,1,0,678.3039215686274,50643
2020-06-30,Illinois,Ogle,17141.0,261,4,5.0,0.0,1,1,0,678.3039215686274,50643
2020-07-01,Illinois,Ogle,17141.0,261,4,0.0,0.0,1,1,0,678.3039215686274,50643
2020-07-02,Illinois,Ogle,17141.0,264,4,3.0,0.0,1,1,0,678.3039215686274,50643
2020-07-03,Illinois,Ogle,17141.0,268,4,4.0,0.0,1,1,0,678.3039215686274,50643
2020-07-04,Illinois,Ogle,17141.0,269,4,1.0,0.0,1,1,0,678.3039215686274,50643
2020-07-05,Illinois,Ogle,17141.0,271,4,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-06,Illinois,Ogle,17141.0,275,4,4.0,0.0,1,1,0,678.3039215686274,50643
2020-07-07,Illinois,Ogle,17141.0,278,4,3.0,0.0,1,1,0,678.3039215686274,50643
2020-07-08,Illinois,Ogle,17141.0,279,4,1.0,0.0,1,1,0,678.3039215686274,50643
2020-07-09,Illinois,Ogle,17141.0,283,4,4.0,0.0,1,1,0,678.3039215686274,50643
2020-07-10,Illinois,Ogle,17141.0,286,4,3.0,0.0,1,1,0,678.3039215686274,50643
2020-07-11,Illinois,Ogle,17141.0,296,4,10.0,0.0,1,1,0,678.3039215686274,50643
2020-07-12,Illinois,Ogle,17141.0,314,4,18.0,0.0,1,1,0,678.3039215686274,50643
2020-07-13,Illinois,Ogle,17141.0,316,4,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-14,Illinois,Ogle,17141.0,319,4,3.0,0.0,1,1,0,678.3039215686274,50643
2020-07-15,Illinois,Ogle,17141.0,325,4,6.0,0.0,1,1,0,678.3039215686274,50643
2020-07-16,Illinois,Ogle,17141.0,329,5,4.0,1.0,1,1,0,678.3039215686274,50643
2020-07-17,Illinois,Ogle,17141.0,334,5,5.0,0.0,1,1,0,678.3039215686274,50643
2020-07-18,Illinois,Ogle,17141.0,336,5,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-19,Illinois,Ogle,17141.0,338,5,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-20,Illinois,Ogle,17141.0,339,5,1.0,0.0,1,1,0,678.3039215686274,50643
2020-07-21,Illinois,Ogle,17141.0,344,5,5.0,0.0,1,1,0,678.3039215686274,50643
2020-07-22,Illinois,Ogle,17141.0,345,5,1.0,0.0,1,1,0,678.3039215686274,50643
2020-07-23,Illinois,Ogle,17141.0,346,5,1.0,0.0,1,1,0,678.3039215686274,50643
2020-07-24,Illinois,Ogle,17141.0,351,5,5.0,0.0,1,1,0,678.3039215686274,50643
2020-07-25,Illinois,Ogle,17141.0,352,5,1.0,0.0,1,1,0,678.3039215686274,50643
2020-07-26,Illinois,Ogle,17141.0,355,5,3.0,0.0,1,1,0,678.3039215686274,50643
2020-07-27,Illinois,Ogle,17141.0,357,5,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-28,Illinois,Ogle,17141.0,361,5,4.0,0.0,1,1,0,678.3039215686274,50643
2020-07-29,Illinois,Ogle,17141.0,363,5,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-30,Illinois,Ogle,17141.0,365,5,2.0,0.0,1,1,0,678.3039215686274,50643
2020-07-31,Illinois,Ogle,17141.0,368,5,3.0,0.0,1,1,0,678.3039215686274,50643
2020-08-01,Illinois,Ogle,17141.0,371,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-08-02,Illinois,Ogle,17141.0,371,5,0.0,0.0,0,0,0,678.3039215686274,50643
2020-08-03,Illinois,Ogle,17141.0,377,5,6.0,0.0,0,0,0,678.3039215686274,50643
2020-08-04,Illinois,Ogle,17141.0,383,5,6.0,0.0,0,0,0,678.3039215686274,50643
2020-08-05,Illinois,Ogle,17141.0,392,5,9.0,0.0,0,0,0,678.3039215686274,50643
2020-08-06,Illinois,Ogle,17141.0,400,5,8.0,0.0,0,0,0,678.3039215686274,50643
2020-08-07,Illinois,Ogle,17141.0,403,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-08-08,Illinois,Ogle,17141.0,409,5,6.0,0.0,0,0,0,678.3039215686274,50643
2020-08-09,Illinois,Ogle,17141.0,410,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-10,Illinois,Ogle,17141.0,411,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-11,Illinois,Ogle,17141.0,416,5,5.0,0.0,0,0,0,678.3039215686274,50643
2020-08-12,Illinois,Ogle,17141.0,420,5,4.0,0.0,0,0,0,678.3039215686274,50643
2020-08-13,Illinois,Ogle,17141.0,421,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-14,Illinois,Ogle,17141.0,429,5,8.0,0.0,0,0,0,678.3039215686274,50643
2020-08-15,Illinois,Ogle,17141.0,432,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-08-16,Illinois,Ogle,17141.0,433,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-17,Illinois,Ogle,17141.0,437,5,4.0,0.0,0,0,0,678.3039215686274,50643
2020-08-18,Illinois,Ogle,17141.0,439,5,2.0,0.0,0,0,0,678.3039215686274,50643
2020-08-19,Illinois,Ogle,17141.0,449,5,10.0,0.0,0,0,0,678.3039215686274,50643
2020-08-20,Illinois,Ogle,17141.0,450,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-21,Illinois,Ogle,17141.0,451,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-22,Illinois,Ogle,17141.0,452,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-23,Illinois,Ogle,17141.0,453,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-24,Illinois,Ogle,17141.0,459,5,6.0,0.0,0,0,0,678.3039215686274,50643
2020-08-25,Illinois,Ogle,17141.0,459,5,0.0,0.0,0,0,0,678.3039215686274,50643
2020-08-26,Illinois,Ogle,17141.0,467,5,8.0,0.0,0,0,0,678.3039215686274,50643
2020-08-27,Illinois,Ogle,17141.0,468,5,1.0,0.0,0,0,0,678.3039215686274,50643
2020-08-28,Illinois,Ogle,17141.0,468,5,0.0,0.0,0,0,0,678.3039215686274,50643
2020-08-29,Illinois,Ogle,17141.0,471,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-08-30,Illinois,Ogle,17141.0,473,5,2.0,0.0,0,0,0,678.3039215686274,50643
2020-08-31,Illinois,Ogle,17141.0,476,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-09-01,Illinois,Ogle,17141.0,483,5,7.0,0.0,0,0,0,678.3039215686274,50643
2020-09-02,Illinois,Ogle,17141.0,489,5,6.0,0.0,0,0,0,678.3039215686274,50643
2020-09-03,Illinois,Ogle,17141.0,492,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-09-04,Illinois,Ogle,17141.0,514,5,22.0,0.0,0,0,0,678.3039215686274,50643
2020-09-05,Illinois,Ogle,17141.0,517,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-09-06,Illinois,Ogle,17141.0,520,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-09-07,Illinois,Ogle,17141.0,523,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-09-08,Illinois,Ogle,17141.0,526,5,3.0,0.0,0,0,0,678.3039215686274,50643
2020-09-09,Illinois,Ogle,17141.0,531,5,5.0,0.0,0,0,0,678.3039215686274,50643
2020-09-10,Illinois,Ogle,17141.0,550,5,19.0,0.0,0,0,0,678.3039215686274,50643
2020-09-11,Illinois,Ogle,17141.0,554,5,4.0,0.0,0,0,0,678.3039215686274,50643
