date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-23,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-24,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-25,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-26,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-27,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-28,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-29,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-30,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-01-31,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-01,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-02,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-03,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-04,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-05,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-06,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-07,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-08,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-09,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-10,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-11,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
2020-02-12,Illinois,Schuyler,17169.0,0,0,0.0,0.0,4,4,0,678.3039215686274,6768
