date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-23,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-24,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-25,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-26,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-27,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-28,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-29,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-30,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-01-31,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-01,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-02,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-03,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-04,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-05,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-06,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-07,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-08,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-09,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-10,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-11,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-12,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-13,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-14,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-15,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-16,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-17,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-18,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-19,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-20,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-21,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-22,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-23,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-24,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-25,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-26,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-27,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-28,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-02-29,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-01,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-02,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-03,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-04,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-05,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-06,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-07,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-08,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-09,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-10,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-11,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-12,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-13,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-14,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-15,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-16,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-17,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-18,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-19,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-20,Indiana,Elkhart,18039.0,0,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-21,Indiana,Elkhart,18039.0,1,0,1.0,0.0,1,1,0,54531.0,206341
2020-03-22,Indiana,Elkhart,18039.0,4,0,3.0,0.0,1,1,0,54531.0,206341
2020-03-23,Indiana,Elkhart,18039.0,4,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-24,Indiana,Elkhart,18039.0,4,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-25,Indiana,Elkhart,18039.0,5,0,1.0,0.0,1,1,0,54531.0,206341
2020-03-26,Indiana,Elkhart,18039.0,7,0,2.0,0.0,1,1,0,54531.0,206341
2020-03-27,Indiana,Elkhart,18039.0,9,0,2.0,0.0,1,1,0,54531.0,206341
2020-03-28,Indiana,Elkhart,18039.0,11,0,2.0,0.0,1,1,0,54531.0,206341
2020-03-29,Indiana,Elkhart,18039.0,12,0,1.0,0.0,1,1,0,54531.0,206341
2020-03-30,Indiana,Elkhart,18039.0,12,0,0.0,0.0,1,1,0,54531.0,206341
2020-03-31,Indiana,Elkhart,18039.0,20,1,8.0,1.0,1,1,0,54531.0,206341
2020-04-01,Indiana,Elkhart,18039.0,23,2,3.0,1.0,1,1,0,54531.0,206341
2020-04-02,Indiana,Elkhart,18039.0,27,3,4.0,1.0,1,1,0,54531.0,206341
2020-04-03,Indiana,Elkhart,18039.0,29,3,2.0,0.0,1,1,0,54531.0,206341
2020-04-04,Indiana,Elkhart,18039.0,31,3,2.0,0.0,1,1,0,54531.0,206341
2020-04-05,Indiana,Elkhart,18039.0,35,3,4.0,0.0,1,1,0,54531.0,206341
2020-04-06,Indiana,Elkhart,18039.0,36,3,1.0,0.0,1,1,0,54531.0,206341
2020-04-07,Indiana,Elkhart,18039.0,43,3,7.0,0.0,1,1,0,54531.0,206341
2020-04-08,Indiana,Elkhart,18039.0,46,3,3.0,0.0,1,1,0,54531.0,206341
2020-04-09,Indiana,Elkhart,18039.0,56,3,10.0,0.0,1,1,0,54531.0,206341
2020-04-10,Indiana,Elkhart,18039.0,61,3,5.0,0.0,1,1,0,54531.0,206341
2020-04-11,Indiana,Elkhart,18039.0,71,3,10.0,0.0,1,1,0,54531.0,206341
2020-04-12,Indiana,Elkhart,18039.0,83,3,12.0,0.0,1,1,0,54531.0,206341
2020-04-13,Indiana,Elkhart,18039.0,89,3,6.0,0.0,1,1,0,54531.0,206341
2020-04-14,Indiana,Elkhart,18039.0,100,3,11.0,0.0,1,1,0,54531.0,206341
2020-04-15,Indiana,Elkhart,18039.0,105,3,5.0,0.0,1,1,0,54531.0,206341
2020-04-16,Indiana,Elkhart,18039.0,123,3,18.0,0.0,1,1,0,54531.0,206341
2020-04-17,Indiana,Elkhart,18039.0,130,3,7.0,0.0,1,1,0,54531.0,206341
2020-04-18,Indiana,Elkhart,18039.0,148,3,18.0,0.0,1,1,0,54531.0,206341
2020-04-19,Indiana,Elkhart,18039.0,152,3,4.0,0.0,1,1,0,54531.0,206341
2020-04-20,Indiana,Elkhart,18039.0,164,3,12.0,0.0,1,1,0,54531.0,206341
2020-04-21,Indiana,Elkhart,18039.0,179,3,15.0,0.0,1,1,0,54531.0,206341
2020-04-22,Indiana,Elkhart,18039.0,185,3,6.0,0.0,1,1,0,54531.0,206341
2020-04-23,Indiana,Elkhart,18039.0,196,4,11.0,1.0,1,1,0,54531.0,206341
2020-04-24,Indiana,Elkhart,18039.0,211,4,15.0,0.0,1,1,0,54531.0,206341
2020-04-25,Indiana,Elkhart,18039.0,238,4,27.0,0.0,1,1,0,54531.0,206341
2020-04-26,Indiana,Elkhart,18039.0,245,4,7.0,0.0,1,1,0,54531.0,206341
2020-04-27,Indiana,Elkhart,18039.0,247,5,2.0,1.0,1,1,0,54531.0,206341
2020-04-28,Indiana,Elkhart,18039.0,269,7,22.0,2.0,1,1,0,54531.0,206341
2020-04-29,Indiana,Elkhart,18039.0,281,7,12.0,0.0,1,1,0,54531.0,206341
2020-04-30,Indiana,Elkhart,18039.0,287,7,6.0,0.0,1,1,0,54531.0,206341
2020-05-01,Indiana,Elkhart,18039.0,293,9,6.0,2.0,1,1,0,54531.0,206341
2020-05-02,Indiana,Elkhart,18039.0,295,9,2.0,0.0,1,1,0,54531.0,206341
2020-05-03,Indiana,Elkhart,18039.0,311,12,16.0,3.0,1,1,0,54531.0,206341
2020-05-04,Indiana,Elkhart,18039.0,321,13,10.0,1.0,1,1,0,54531.0,206341
2020-05-05,Indiana,Elkhart,18039.0,342,13,21.0,0.0,1,1,0,54531.0,206341
2020-05-06,Indiana,Elkhart,18039.0,361,16,19.0,3.0,1,1,0,54531.0,206341
2020-05-07,Indiana,Elkhart,18039.0,387,16,26.0,0.0,1,1,0,54531.0,206341
2020-05-08,Indiana,Elkhart,18039.0,410,16,23.0,0.0,1,1,0,54531.0,206341
2020-05-09,Indiana,Elkhart,18039.0,436,18,26.0,2.0,1,1,0,54531.0,206341
2020-05-10,Indiana,Elkhart,18039.0,484,18,48.0,0.0,1,1,0,54531.0,206341
2020-05-11,Indiana,Elkhart,18039.0,494,18,10.0,0.0,1,1,0,54531.0,206341
2020-05-12,Indiana,Elkhart,18039.0,525,21,31.0,3.0,1,1,0,54531.0,206341
2020-05-13,Indiana,Elkhart,18039.0,549,21,24.0,0.0,1,1,0,54531.0,206341
2020-05-14,Indiana,Elkhart,18039.0,589,22,40.0,1.0,1,1,0,54531.0,206341
2020-05-15,Indiana,Elkhart,18039.0,609,22,20.0,0.0,1,1,0,54531.0,206341
2020-05-16,Indiana,Elkhart,18039.0,638,23,29.0,1.0,1,1,0,54531.0,206341
2020-05-17,Indiana,Elkhart,18039.0,668,23,30.0,0.0,1,1,0,54531.0,206341
2020-05-18,Indiana,Elkhart,18039.0,687,23,19.0,0.0,1,1,0,54531.0,206341
2020-05-19,Indiana,Elkhart,18039.0,733,24,46.0,1.0,1,1,0,54531.0,206341
2020-05-20,Indiana,Elkhart,18039.0,777,26,44.0,2.0,1,1,0,54531.0,206341
2020-05-21,Indiana,Elkhart,18039.0,844,27,67.0,1.0,1,1,0,54531.0,206341
2020-05-22,Indiana,Elkhart,18039.0,903,27,59.0,0.0,1,1,0,54531.0,206341
2020-05-23,Indiana,Elkhart,18039.0,938,27,35.0,0.0,1,1,0,54531.0,206341
2020-05-24,Indiana,Elkhart,18039.0,991,27,53.0,0.0,1,1,0,54531.0,206341
2020-05-25,Indiana,Elkhart,18039.0,1008,27,17.0,0.0,1,1,0,54531.0,206341
2020-05-26,Indiana,Elkhart,18039.0,1057,28,49.0,1.0,1,1,0,54531.0,206341
2020-05-27,Indiana,Elkhart,18039.0,1070,28,13.0,0.0,1,1,0,54531.0,206341
2020-05-28,Indiana,Elkhart,18039.0,1101,28,31.0,0.0,1,1,0,54531.0,206341
2020-05-29,Indiana,Elkhart,18039.0,1163,28,62.0,0.0,1,1,0,54531.0,206341
2020-05-30,Indiana,Elkhart,18039.0,1262,28,99.0,0.0,1,1,0,54531.0,206341
2020-05-31,Indiana,Elkhart,18039.0,1322,28,60.0,0.0,1,1,0,54531.0,206341
2020-06-01,Indiana,Elkhart,18039.0,1322,28,0.0,0.0,1,1,0,54531.0,206341
2020-06-02,Indiana,Elkhart,18039.0,1384,28,62.0,0.0,1,1,0,54531.0,206341
2020-06-03,Indiana,Elkhart,18039.0,1435,29,51.0,1.0,1,1,0,54531.0,206341
2020-06-04,Indiana,Elkhart,18039.0,1495,28,60.0,-1.0,1,1,0,54531.0,206341
2020-06-05,Indiana,Elkhart,18039.0,1585,28,90.0,0.0,1,1,0,54531.0,206341
2020-06-06,Indiana,Elkhart,18039.0,1637,29,52.0,1.0,1,1,0,54531.0,206341
2020-06-07,Indiana,Elkhart,18039.0,1717,29,80.0,0.0,1,1,0,54531.0,206341
2020-06-08,Indiana,Elkhart,18039.0,1741,29,24.0,0.0,1,1,0,54531.0,206341
2020-06-09,Indiana,Elkhart,18039.0,1800,29,59.0,0.0,1,1,0,54531.0,206341
2020-06-10,Indiana,Elkhart,18039.0,1832,29,32.0,0.0,1,1,0,54531.0,206341
2020-06-11,Indiana,Elkhart,18039.0,1876,30,44.0,1.0,1,1,0,54531.0,206341
2020-06-12,Indiana,Elkhart,18039.0,1929,32,53.0,2.0,1,1,0,54531.0,206341
2020-06-13,Indiana,Elkhart,18039.0,2030,32,101.0,0.0,1,1,0,54531.0,206341
2020-06-14,Indiana,Elkhart,18039.0,2081,34,51.0,2.0,1,1,0,54531.0,206341
2020-06-15,Indiana,Elkhart,18039.0,2168,34,87.0,0.0,1,1,0,54531.0,206341
2020-06-16,Indiana,Elkhart,18039.0,2248,35,80.0,1.0,1,1,0,54531.0,206341
2020-06-17,Indiana,Elkhart,18039.0,2280,35,32.0,0.0,1,1,0,54531.0,206341
2020-06-18,Indiana,Elkhart,18039.0,2400,36,120.0,1.0,1,1,0,54531.0,206341
2020-06-19,Indiana,Elkhart,18039.0,2477,38,77.0,2.0,1,1,0,54531.0,206341
2020-06-20,Indiana,Elkhart,18039.0,2538,38,61.0,0.0,1,1,0,54531.0,206341
2020-06-21,Indiana,Elkhart,18039.0,2603,38,65.0,0.0,1,1,0,54531.0,206341
2020-06-22,Indiana,Elkhart,18039.0,2625,38,22.0,0.0,1,1,0,54531.0,206341
2020-06-23,Indiana,Elkhart,18039.0,2665,39,40.0,1.0,1,1,0,54531.0,206341
2020-06-24,Indiana,Elkhart,18039.0,2705,40,40.0,1.0,1,1,0,54531.0,206341
2020-06-25,Indiana,Elkhart,18039.0,2805,41,100.0,1.0,1,1,0,54531.0,206341
2020-06-26,Indiana,Elkhart,18039.0,2864,41,59.0,0.0,1,1,0,54531.0,206341
2020-06-27,Indiana,Elkhart,18039.0,2928,42,64.0,1.0,1,1,0,54531.0,206341
2020-06-28,Indiana,Elkhart,18039.0,2976,42,48.0,0.0,1,1,0,54531.0,206341
2020-06-29,Indiana,Elkhart,18039.0,3003,42,27.0,0.0,1,1,0,54531.0,206341
2020-06-30,Indiana,Elkhart,18039.0,3041,43,38.0,1.0,1,1,0,54531.0,206341
2020-07-01,Indiana,Elkhart,18039.0,3085,43,44.0,0.0,1,1,0,54531.0,206341
2020-07-02,Indiana,Elkhart,18039.0,3133,43,48.0,0.0,1,1,0,54531.0,206341
2020-07-03,Indiana,Elkhart,18039.0,3164,43,31.0,0.0,1,1,0,54531.0,206341
2020-07-04,Indiana,Elkhart,18039.0,3211,44,47.0,1.0,1,1,0,54531.0,206341
2020-07-05,Indiana,Elkhart,18039.0,3285,46,74.0,2.0,1,1,0,54531.0,206341
2020-07-06,Indiana,Elkhart,18039.0,3301,46,16.0,0.0,1,1,0,54531.0,206341
2020-07-07,Indiana,Elkhart,18039.0,3320,51,19.0,5.0,1,1,0,54531.0,206341
2020-07-08,Indiana,Elkhart,18039.0,3402,55,82.0,4.0,1,1,0,54531.0,206341
2020-07-09,Indiana,Elkhart,18039.0,3432,57,30.0,2.0,1,1,0,54531.0,206341
2020-07-10,Indiana,Elkhart,18039.0,3470,58,38.0,1.0,1,1,0,54531.0,206341
2020-07-11,Indiana,Elkhart,18039.0,3539,59,69.0,1.0,1,1,0,54531.0,206341
2020-07-12,Indiana,Elkhart,18039.0,3618,60,79.0,1.0,1,1,0,54531.0,206341
2020-07-13,Indiana,Elkhart,18039.0,3662,60,44.0,0.0,1,1,0,54531.0,206341
2020-07-14,Indiana,Elkhart,18039.0,3720,61,58.0,1.0,0,0,0,54531.0,206341
2020-07-15,Indiana,Elkhart,18039.0,3794,62,74.0,1.0,0,0,0,54531.0,206341
2020-07-16,Indiana,Elkhart,18039.0,3834,62,40.0,0.0,1,1,0,54531.0,206341
2020-07-17,Indiana,Elkhart,18039.0,3889,63,55.0,1.0,0,0,0,54531.0,206341
2020-07-18,Indiana,Elkhart,18039.0,3928,64,39.0,1.0,0,0,0,54531.0,206341
2020-07-19,Indiana,Elkhart,18039.0,3999,64,71.0,0.0,0,0,0,54531.0,206341
2020-07-20,Indiana,Elkhart,18039.0,4046,64,47.0,0.0,0,0,0,54531.0,206341
2020-07-21,Indiana,Elkhart,18039.0,4080,68,34.0,4.0,0,0,0,54531.0,206341
2020-07-22,Indiana,Elkhart,18039.0,4150,69,70.0,1.0,0,0,0,54531.0,206341
2020-07-23,Indiana,Elkhart,18039.0,4189,70,39.0,1.0,0,0,0,54531.0,206341
2020-07-24,Indiana,Elkhart,18039.0,4244,70,55.0,0.0,0,0,0,54531.0,206341
2020-07-25,Indiana,Elkhart,18039.0,4308,70,64.0,0.0,0,0,0,54531.0,206341
2020-07-26,Indiana,Elkhart,18039.0,4346,70,38.0,0.0,0,0,0,54531.0,206341
2020-07-27,Indiana,Elkhart,18039.0,4378,71,32.0,1.0,0,0,0,54531.0,206341
2020-07-28,Indiana,Elkhart,18039.0,4399,72,21.0,1.0,1,1,0,54531.0,206341
2020-07-29,Indiana,Elkhart,18039.0,4423,72,24.0,0.0,1,1,0,54531.0,206341
2020-07-30,Indiana,Elkhart,18039.0,4467,75,44.0,3.0,1,1,0,54531.0,206341
2020-07-31,Indiana,Elkhart,18039.0,4521,76,54.0,1.0,1,1,0,54531.0,206341
2020-08-01,Indiana,Elkhart,18039.0,4566,76,45.0,0.0,0,0,0,54531.0,206341
2020-08-02,Indiana,Elkhart,18039.0,4582,76,16.0,0.0,0,0,0,54531.0,206341
2020-08-03,Indiana,Elkhart,18039.0,4597,77,15.0,1.0,1,1,0,54531.0,206341
2020-08-04,Indiana,Elkhart,18039.0,4630,77,33.0,0.0,0,0,0,54531.0,206341
2020-08-05,Indiana,Elkhart,18039.0,4680,79,50.0,2.0,1,1,0,54531.0,206341
2020-08-06,Indiana,Elkhart,18039.0,4713,80,33.0,1.0,1,1,0,54531.0,206341
2020-08-07,Indiana,Elkhart,18039.0,4760,82,47.0,2.0,1,1,0,54531.0,206341
2020-08-08,Indiana,Elkhart,18039.0,4801,84,41.0,2.0,0,0,0,54531.0,206341
2020-08-09,Indiana,Elkhart,18039.0,4843,84,42.0,0.0,0,0,0,54531.0,206341
2020-08-10,Indiana,Elkhart,18039.0,4883,85,40.0,1.0,0,0,0,54531.0,206341
2020-08-11,Indiana,Elkhart,18039.0,4926,85,43.0,0.0,0,0,0,54531.0,206341
2020-08-12,Indiana,Elkhart,18039.0,4955,86,29.0,1.0,0,0,0,54531.0,206341
2020-08-13,Indiana,Elkhart,18039.0,4992,87,37.0,1.0,0,0,0,54531.0,206341
2020-08-14,Indiana,Elkhart,18039.0,5051,91,59.0,4.0,1,1,0,54531.0,206341
2020-08-15,Indiana,Elkhart,18039.0,5102,92,51.0,1.0,1,1,0,54531.0,206341
2020-08-16,Indiana,Elkhart,18039.0,5120,92,18.0,0.0,0,0,0,54531.0,206341
2020-08-17,Indiana,Elkhart,18039.0,5153,92,33.0,0.0,0,0,0,54531.0,206341
2020-08-18,Indiana,Elkhart,18039.0,5190,93,37.0,1.0,1,1,0,54531.0,206341
2020-08-19,Indiana,Elkhart,18039.0,5209,93,19.0,0.0,0,0,0,54531.0,206341
