date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-23,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-24,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-25,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-26,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-27,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-28,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-29,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-30,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-01-31,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-01,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-02,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-03,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-04,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-05,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-06,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-07,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-08,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-09,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-10,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-11,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-12,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-13,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-14,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-15,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-16,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-17,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-18,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-19,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-20,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-21,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-22,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-23,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-24,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-25,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-26,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-27,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-28,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-02-29,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-01,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-02,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-03,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-04,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-05,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-06,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-07,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-08,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-09,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-10,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-11,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-12,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-13,Kansas,Butler,20015.0,0,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-14,Kansas,Butler,20015.0,1,0,1.0,0.0,1,1,0,61951.0,19448
2020-03-15,Kansas,Butler,20015.0,1,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-16,Kansas,Butler,20015.0,1,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-17,Kansas,Butler,20015.0,1,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-18,Kansas,Butler,20015.0,1,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-19,Kansas,Butler,20015.0,2,0,1.0,0.0,1,1,0,61951.0,19448
2020-03-20,Kansas,Butler,20015.0,2,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-21,Kansas,Butler,20015.0,2,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-22,Kansas,Butler,20015.0,3,0,1.0,0.0,1,1,0,61951.0,19448
2020-03-23,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-24,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-25,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-26,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-27,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-28,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-29,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-30,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-03-31,Kansas,Butler,20015.0,3,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-01,Kansas,Butler,20015.0,5,0,2.0,0.0,1,1,0,61951.0,19448
2020-04-02,Kansas,Butler,20015.0,7,0,2.0,0.0,1,1,0,61951.0,19448
2020-04-03,Kansas,Butler,20015.0,7,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-04,Kansas,Butler,20015.0,8,0,1.0,0.0,1,1,0,61951.0,19448
2020-04-05,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-06,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-07,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-08,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-09,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-10,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-11,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-12,Kansas,Butler,20015.0,8,0,0.0,0.0,1,1,0,61951.0,19448
2020-04-13,Kansas,Butler,20015.0,9,0,1.0,0.0,1,1,0,61951.0,19448
