date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-23,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-24,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-25,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-26,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-27,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-28,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-29,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-30,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-01-31,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-01,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-02,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-03,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-04,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-05,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-06,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-07,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-08,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-09,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-10,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-11,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-12,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-13,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-14,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-15,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-16,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-17,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-18,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-19,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-20,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-21,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-22,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-23,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-24,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-25,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-26,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-27,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-28,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-02-29,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-03-01,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
2020-03-02,Kentucky,Harlan,21095.0,0,0,0.0,0.0,2,2,0,435.7916666666667,26010
