date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-23,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-24,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-25,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-26,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-27,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-28,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-29,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-30,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-01-31,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-01,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-02,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-03,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-04,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-05,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-06,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-07,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-08,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-09,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-10,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-11,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-12,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-13,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-14,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-15,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-16,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-17,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-18,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-19,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-20,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-21,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-22,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-23,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-24,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-25,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-26,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-27,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-28,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-02-29,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-01,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-02,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-03,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-04,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-05,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-06,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-07,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-08,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-09,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
2020-03-10,Louisiana,Caddo,22017.0,0,0,0.0,0.0,1,1,0,45537.0,240204
