date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-23,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-24,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-25,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-26,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-27,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-28,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-29,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-30,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-01-31,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-01,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-02,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-03,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-04,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-05,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-06,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-07,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-08,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-09,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-10,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-11,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-12,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-13,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-14,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-15,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
2020-02-16,Maryland,Allegany,24001.0,0,0,0.0,0.0,0,0,0,48867.0,70416
