date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-23,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-24,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-25,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-26,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-27,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-28,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-29,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-30,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-01-31,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-01,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-02,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-03,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-04,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-05,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-06,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-07,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-08,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
2020-02-09,Michigan,Oakland,26125.0,0,0,0.0,0.0,5,5,0,81190.0,1257584
