date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-23,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-24,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-25,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-26,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-27,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-28,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-29,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-30,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-01-31,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-01,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-02,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-03,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-04,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-05,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-06,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-07,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-08,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-09,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-10,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-11,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-12,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-13,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-14,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-15,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-16,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-17,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-18,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-19,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-20,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-21,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-22,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-23,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-24,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-25,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-26,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-27,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
2020-02-28,Minnesota,Olmsted,27109.0,0,0,0.0,0.0,1,1,0,80096.0,158293
