date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-23,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-24,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-25,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-26,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-27,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-28,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-29,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-30,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-01-31,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-01,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-02,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-03,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-04,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-05,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-06,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-07,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-08,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-09,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-10,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-11,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-12,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-13,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-14,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-15,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-16,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-17,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-18,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-19,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-20,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-21,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-22,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-23,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-24,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-25,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-26,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-27,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-28,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-02-29,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-01,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-02,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-03,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-04,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-05,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-06,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-07,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-08,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-09,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-10,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-11,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-12,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-13,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-14,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-15,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-16,Mississippi,Harrison,28047.0,0,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-17,Mississippi,Harrison,28047.0,1,0,1.0,0.0,0,0,0,50119.0,40515
2020-03-18,Mississippi,Harrison,28047.0,3,0,2.0,0.0,0,0,0,50119.0,40515
2020-03-19,Mississippi,Harrison,28047.0,7,0,4.0,0.0,0,0,0,50119.0,40515
2020-03-20,Mississippi,Harrison,28047.0,8,0,1.0,0.0,0,0,0,50119.0,40515
2020-03-21,Mississippi,Harrison,28047.0,8,0,0.0,0.0,0,0,0,50119.0,40515
2020-03-22,Mississippi,Harrison,28047.0,15,0,7.0,0.0,0,0,0,50119.0,40515
2020-03-23,Mississippi,Harrison,28047.0,21,0,6.0,0.0,0,0,0,50119.0,40515
2020-03-24,Mississippi,Harrison,28047.0,24,0,3.0,0.0,1,0,0,50119.0,40515
2020-03-25,Mississippi,Harrison,28047.0,25,0,1.0,0.0,1,0,0,50119.0,40515
2020-03-26,Mississippi,Harrison,28047.0,31,0,6.0,0.0,1,0,0,50119.0,40515
2020-03-27,Mississippi,Harrison,28047.0,34,1,3.0,1.0,1,0,0,50119.0,40515
2020-03-28,Mississippi,Harrison,28047.0,38,1,4.0,0.0,1,1,0,50119.0,40515
2020-03-29,Mississippi,Harrison,28047.0,43,1,5.0,0.0,1,1,0,50119.0,40515
2020-03-30,Mississippi,Harrison,28047.0,43,1,0.0,0.0,1,0,0,50119.0,40515
2020-03-31,Mississippi,Harrison,28047.0,45,1,2.0,0.0,1,1,0,50119.0,40515
2020-04-01,Mississippi,Harrison,28047.0,49,1,4.0,0.0,1,1,0,50119.0,40515
2020-04-02,Mississippi,Harrison,28047.0,53,1,4.0,0.0,1,1,0,50119.0,40515
2020-04-03,Mississippi,Harrison,28047.0,69,1,16.0,0.0,1,1,0,50119.0,40515
2020-04-04,Mississippi,Harrison,28047.0,70,3,1.0,2.0,1,1,0,50119.0,40515
2020-04-05,Mississippi,Harrison,28047.0,73,3,3.0,0.0,1,1,0,50119.0,40515
2020-04-06,Mississippi,Harrison,28047.0,79,3,6.0,0.0,1,1,0,50119.0,40515
2020-04-07,Mississippi,Harrison,28047.0,89,3,10.0,0.0,1,1,0,50119.0,40515
2020-04-08,Mississippi,Harrison,28047.0,88,3,-1.0,0.0,1,1,0,50119.0,40515
2020-04-09,Mississippi,Harrison,28047.0,96,3,8.0,0.0,1,1,0,50119.0,40515
2020-04-10,Mississippi,Harrison,28047.0,99,4,3.0,1.0,1,1,0,50119.0,40515
2020-04-11,Mississippi,Harrison,28047.0,107,5,8.0,1.0,1,1,0,50119.0,40515
2020-04-12,Mississippi,Harrison,28047.0,110,5,3.0,0.0,1,1,0,50119.0,40515
2020-04-13,Mississippi,Harrison,28047.0,112,5,2.0,0.0,1,1,0,50119.0,40515
2020-04-14,Mississippi,Harrison,28047.0,121,5,9.0,0.0,1,1,0,50119.0,40515
2020-04-15,Mississippi,Harrison,28047.0,129,5,8.0,0.0,1,1,0,50119.0,40515
2020-04-16,Mississippi,Harrison,28047.0,134,5,5.0,0.0,1,1,0,50119.0,40515
