date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-23,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-24,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-25,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-26,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-27,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-28,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-29,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-30,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-01-31,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-01,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-02,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-03,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-04,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-05,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-06,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-07,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-08,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-09,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-10,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-11,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-12,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-13,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-14,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-15,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-16,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-17,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-18,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-19,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-20,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-21,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-22,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-23,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-24,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-25,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-26,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-27,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-28,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-02-29,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-01,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-02,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-03,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-04,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-05,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-06,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-07,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-08,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-09,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-10,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-11,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-12,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-13,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-14,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-15,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-16,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-17,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-18,Mississippi,Winston,28159.0,0,0,0.0,0.0,0,0,0,558.439024390244,23629
2020-03-19,Mississippi,Winston,28159.0,1,0,1.0,0.0,0,0,0,558.439024390244,23629
2020-03-20,Mississippi,Winston,28159.0,1,0,0.0,0.0,0,0,0,558.439024390244,23629
