date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-23,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-24,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-25,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-26,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-27,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-28,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-29,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-30,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-01-31,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-01,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-02,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-03,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-04,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-05,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-06,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-07,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-08,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-09,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-10,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-11,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-12,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-13,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-14,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-15,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-16,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-17,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-18,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-19,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-20,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-21,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-22,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-23,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-24,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-25,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-26,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-27,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-28,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-02-29,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-01,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-02,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-03,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-04,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-05,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-06,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-07,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-08,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-09,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-10,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-11,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-12,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-13,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-14,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-15,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-16,Missouri,Cass,29037.0,0,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-17,Missouri,Cass,29037.0,1,0,1.0,0.0,0,0,0,72819.0,12147
2020-03-18,Missouri,Cass,29037.0,2,0,1.0,0.0,0,0,0,72819.0,12147
2020-03-19,Missouri,Cass,29037.0,2,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-20,Missouri,Cass,29037.0,6,0,4.0,0.0,0,0,0,72819.0,12147
2020-03-21,Missouri,Cass,29037.0,6,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-22,Missouri,Cass,29037.0,6,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-23,Missouri,Cass,29037.0,6,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-24,Missouri,Cass,29037.0,6,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-25,Missouri,Cass,29037.0,8,0,2.0,0.0,0,0,0,72819.0,12147
2020-03-26,Missouri,Cass,29037.0,8,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-27,Missouri,Cass,29037.0,8,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-28,Missouri,Cass,29037.0,8,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-29,Missouri,Cass,29037.0,8,0,0.0,0.0,0,0,0,72819.0,12147
2020-03-30,Missouri,Cass,29037.0,9,0,1.0,0.0,0,0,0,72819.0,12147
2020-03-31,Missouri,Cass,29037.0,14,0,5.0,0.0,0,0,0,72819.0,12147
2020-04-01,Missouri,Cass,29037.0,17,1,3.0,1.0,0,0,0,72819.0,12147
2020-04-02,Missouri,Cass,29037.0,21,1,4.0,0.0,0,0,0,72819.0,12147
2020-04-03,Missouri,Cass,29037.0,21,1,0.0,0.0,0,0,0,72819.0,12147
2020-04-04,Missouri,Cass,29037.0,22,1,1.0,0.0,0,0,0,72819.0,12147
2020-04-05,Missouri,Cass,29037.0,22,1,0.0,0.0,0,0,0,72819.0,12147
2020-04-06,Missouri,Cass,29037.0,26,1,4.0,0.0,0,0,0,72819.0,12147
2020-04-07,Missouri,Cass,29037.0,25,1,-1.0,0.0,0,0,0,72819.0,12147
2020-04-08,Missouri,Cass,29037.0,25,1,0.0,0.0,0,0,0,72819.0,12147
2020-04-09,Missouri,Cass,29037.0,26,1,1.0,0.0,0,0,0,72819.0,12147
2020-04-10,Missouri,Cass,29037.0,27,1,1.0,0.0,0,0,0,72819.0,12147
2020-04-11,Missouri,Cass,29037.0,34,2,7.0,1.0,0,0,0,72819.0,12147
2020-04-12,Missouri,Cass,29037.0,37,2,3.0,0.0,1,1,0,72819.0,12147
2020-04-13,Missouri,Cass,29037.0,42,2,5.0,0.0,1,1,0,72819.0,12147
2020-04-14,Missouri,Cass,29037.0,45,4,3.0,2.0,1,1,0,72819.0,12147
2020-04-15,Missouri,Cass,29037.0,45,4,0.0,0.0,1,1,0,72819.0,12147
2020-04-16,Missouri,Cass,29037.0,47,4,2.0,0.0,1,1,0,72819.0,12147
2020-04-17,Missouri,Cass,29037.0,50,5,3.0,1.0,1,1,0,72819.0,12147
2020-04-18,Missouri,Cass,29037.0,53,6,3.0,1.0,1,1,0,72819.0,12147
2020-04-19,Missouri,Cass,29037.0,53,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-20,Missouri,Cass,29037.0,53,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-21,Missouri,Cass,29037.0,54,6,1.0,0.0,1,1,0,72819.0,12147
2020-04-22,Missouri,Cass,29037.0,55,6,1.0,0.0,1,1,0,72819.0,12147
2020-04-23,Missouri,Cass,29037.0,55,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-24,Missouri,Cass,29037.0,55,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-25,Missouri,Cass,29037.0,58,6,3.0,0.0,1,1,0,72819.0,12147
2020-04-26,Missouri,Cass,29037.0,58,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-27,Missouri,Cass,29037.0,58,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-28,Missouri,Cass,29037.0,61,6,3.0,0.0,1,1,0,72819.0,12147
2020-04-29,Missouri,Cass,29037.0,61,6,0.0,0.0,1,1,0,72819.0,12147
2020-04-30,Missouri,Cass,29037.0,62,6,1.0,0.0,1,1,0,72819.0,12147
2020-05-01,Missouri,Cass,29037.0,63,6,1.0,0.0,1,1,0,72819.0,12147
2020-05-02,Missouri,Cass,29037.0,63,6,0.0,0.0,1,1,0,72819.0,12147
2020-05-03,Missouri,Cass,29037.0,63,6,0.0,0.0,1,1,0,72819.0,12147
2020-05-04,Missouri,Cass,29037.0,63,6,0.0,0.0,1,1,0,72819.0,12147
2020-05-05,Missouri,Cass,29037.0,64,6,1.0,0.0,1,1,0,72819.0,12147
2020-05-06,Missouri,Cass,29037.0,64,6,0.0,0.0,1,1,0,72819.0,12147
2020-05-07,Missouri,Cass,29037.0,65,6,1.0,0.0,1,1,0,72819.0,12147
2020-05-08,Missouri,Cass,29037.0,65,7,0.0,1.0,1,1,0,72819.0,12147
2020-05-09,Missouri,Cass,29037.0,69,8,4.0,1.0,1,1,0,72819.0,12147
2020-05-10,Missouri,Cass,29037.0,69,8,0.0,0.0,1,1,0,72819.0,12147
2020-05-11,Missouri,Cass,29037.0,69,8,0.0,0.0,1,1,0,72819.0,12147
2020-05-12,Missouri,Cass,29037.0,69,8,0.0,0.0,1,1,0,72819.0,12147
2020-05-13,Missouri,Cass,29037.0,69,8,0.0,0.0,1,1,0,72819.0,12147
2020-05-14,Missouri,Cass,29037.0,71,8,2.0,0.0,1,1,0,72819.0,12147
