date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-23,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-24,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-25,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-26,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-27,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-28,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-29,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-30,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-01-31,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-01,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-02,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-03,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-04,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-05,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-06,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-07,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-08,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-09,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-10,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-11,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-12,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-13,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-14,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-15,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-16,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
2020-02-17,Missouri,Pemiscot,29155.0,0,0,0.0,0.0,0,0,0,503.5877192982456,15805
