date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-23,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-24,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-25,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-26,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-27,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-28,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-29,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-30,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-01-31,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-01,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-02,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-03,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-04,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-05,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-06,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-07,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-08,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-09,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-10,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
2020-02-11,Nevada,Lyon,32019.0,0,0,0.0,0.0,1,1,0,3954.75,11755
