date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-23,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-24,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-25,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-26,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-27,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-28,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-29,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-30,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-01-31,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-01,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-02,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-03,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-04,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-05,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-06,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
2020-02-07,New Hampshire,Cheshire,33005.0,0,0,0.0,0.0,-1,-1,0,66088.0,76085
