date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-23,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-24,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-25,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-26,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-27,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-28,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-29,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-30,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-01-31,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-01,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-02,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-03,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-04,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-05,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-06,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-07,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-08,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-09,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-10,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-11,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-12,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-13,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-14,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-15,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-16,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-17,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-18,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-19,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-20,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-21,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-22,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-23,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-24,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-25,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-26,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-27,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-28,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-02-29,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-01,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-02,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-03,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-04,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-05,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-06,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-07,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-08,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-09,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-10,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-11,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-12,New Jersey,Mercer,34021.0,0,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-13,New Jersey,Mercer,34021.0,1,0,1.0,0.0,1,1,0,79492.0,15437
2020-03-14,New Jersey,Mercer,34021.0,1,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-15,New Jersey,Mercer,34021.0,1,0,0.0,0.0,1,1,0,79492.0,15437
2020-03-16,New Jersey,Mercer,34021.0,6,0,5.0,0.0,1,1,0,79492.0,15437
2020-03-17,New Jersey,Mercer,34021.0,9,0,3.0,0.0,1,1,0,79492.0,15437
2020-03-18,New Jersey,Mercer,34021.0,15,0,6.0,0.0,1,1,0,79492.0,15437
2020-03-19,New Jersey,Mercer,34021.0,20,0,5.0,0.0,1,1,0,79492.0,15437
2020-03-20,New Jersey,Mercer,34021.0,22,0,2.0,0.0,1,1,0,79492.0,15437
2020-03-21,New Jersey,Mercer,34021.0,30,0,8.0,0.0,1,1,0,79492.0,15437
2020-03-22,New Jersey,Mercer,34021.0,40,0,10.0,0.0,1,1,0,79492.0,15437
2020-03-23,New Jersey,Mercer,34021.0,50,0,10.0,0.0,1,1,0,79492.0,15437
2020-03-24,New Jersey,Mercer,34021.0,58,0,8.0,0.0,1,1,0,79492.0,15437
2020-03-25,New Jersey,Mercer,34021.0,82,0,24.0,0.0,1,1,0,79492.0,15437
2020-03-26,New Jersey,Mercer,34021.0,111,0,29.0,0.0,1,1,0,79492.0,15437
2020-03-27,New Jersey,Mercer,34021.0,131,0,20.0,0.0,1,1,0,79492.0,15437
2020-03-28,New Jersey,Mercer,34021.0,168,0,37.0,0.0,1,1,0,79492.0,15437
2020-03-29,New Jersey,Mercer,34021.0,202,0,34.0,0.0,1,1,0,79492.0,15437
2020-03-30,New Jersey,Mercer,34021.0,249,0,47.0,0.0,1,1,0,79492.0,15437
2020-03-31,New Jersey,Mercer,34021.0,268,0,19.0,0.0,1,1,0,79492.0,15437
2020-04-01,New Jersey,Mercer,34021.0,333,3,65.0,3.0,1,1,0,79492.0,15437
2020-04-02,New Jersey,Mercer,34021.0,386,4,53.0,1.0,1,1,0,79492.0,15437
2020-04-03,New Jersey,Mercer,34021.0,484,5,98.0,1.0,1,1,0,79492.0,15437
2020-04-04,New Jersey,Mercer,34021.0,586,13,102.0,8.0,1,1,0,79492.0,15437
2020-04-05,New Jersey,Mercer,34021.0,654,16,68.0,3.0,1,1,0,79492.0,15437
2020-04-06,New Jersey,Mercer,34021.0,740,19,86.0,3.0,1,1,0,79492.0,15437
2020-04-07,New Jersey,Mercer,34021.0,837,24,97.0,5.0,1,1,0,79492.0,15437
2020-04-08,New Jersey,Mercer,34021.0,992,28,155.0,4.0,1,1,0,79492.0,15437
2020-04-09,New Jersey,Mercer,34021.0,1161,36,169.0,8.0,1,1,0,79492.0,15437
2020-04-10,New Jersey,Mercer,34021.0,1282,39,121.0,3.0,1,1,0,79492.0,15437
2020-04-11,New Jersey,Mercer,34021.0,1434,49,152.0,10.0,1,1,0,79492.0,15437
2020-04-12,New Jersey,Mercer,34021.0,1567,50,133.0,1.0,1,1,0,79492.0,15437
2020-04-13,New Jersey,Mercer,34021.0,1646,53,79.0,3.0,1,1,0,79492.0,15437
2020-04-14,New Jersey,Mercer,34021.0,1731,71,85.0,18.0,1,1,0,79492.0,15437
2020-04-15,New Jersey,Mercer,34021.0,1856,76,125.0,5.0,1,1,0,79492.0,15437
2020-04-16,New Jersey,Mercer,34021.0,2037,87,181.0,11.0,1,1,0,79492.0,15437
2020-04-17,New Jersey,Mercer,34021.0,2123,101,86.0,14.0,1,1,0,79492.0,15437
2020-04-18,New Jersey,Mercer,34021.0,2215,110,92.0,9.0,1,1,0,79492.0,15437
2020-04-19,New Jersey,Mercer,34021.0,2395,113,180.0,3.0,1,1,0,79492.0,15437
2020-04-20,New Jersey,Mercer,34021.0,2591,122,196.0,9.0,1,1,0,79492.0,15437
2020-04-21,New Jersey,Mercer,34021.0,2591,122,0.0,0.0,1,1,0,79492.0,15437
2020-04-22,New Jersey,Mercer,34021.0,2845,145,254.0,23.0,1,1,0,79492.0,15437
2020-04-23,New Jersey,Mercer,34021.0,2991,163,146.0,18.0,1,1,0,79492.0,15437
2020-04-24,New Jersey,Mercer,34021.0,3086,178,95.0,15.0,1,1,0,79492.0,15437
2020-04-25,New Jersey,Mercer,34021.0,3245,183,159.0,5.0,1,1,0,79492.0,15437
