date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-23,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-24,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-25,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-26,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-27,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-28,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-29,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-30,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-01-31,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-01,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-02,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-03,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-04,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-05,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-06,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-07,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-08,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-09,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-10,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-11,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-12,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-13,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-14,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
2020-02-15,Oklahoma,Sequoyah,40135.0,0,0,0.0,0.0,1,1,0,707.1298701298701,41569
