date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-23,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-24,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-25,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-26,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-27,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-28,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-29,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-30,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-01-31,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-01,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-02,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-03,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-04,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-05,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-06,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-07,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-08,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-09,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-10,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-11,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-12,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-13,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-14,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
2020-02-15,Pennsylvania,Beaver,42007.0,0,0,0.0,0.0,3,3,0,60672.0,5311
