date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-23,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-24,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-25,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-26,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-27,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-28,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-29,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-30,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-01-31,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-01,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-02,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-03,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-04,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-05,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-06,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-07,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-08,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-09,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-10,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-11,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-12,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-13,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-14,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-15,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-16,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-17,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-18,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-19,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-20,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-21,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-22,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-23,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-24,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-25,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-26,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-27,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-28,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-02-29,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-01,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-02,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-03,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-04,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-05,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-06,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-07,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-08,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-09,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-10,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-11,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-12,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-13,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-14,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-15,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-16,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-17,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-18,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-19,Pennsylvania,Centre,42027.0,0,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-20,Pennsylvania,Centre,42027.0,1,0,1.0,0.0,3,3,0,60706.0,162385
2020-03-21,Pennsylvania,Centre,42027.0,1,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-22,Pennsylvania,Centre,42027.0,1,0,0.0,0.0,3,3,0,60706.0,162385
2020-03-23,Pennsylvania,Centre,42027.0,3,0,2.0,0.0,3,3,0,60706.0,162385
2020-03-24,Pennsylvania,Centre,42027.0,7,0,4.0,0.0,3,3,0,60706.0,162385
2020-03-25,Pennsylvania,Centre,42027.0,8,0,1.0,0.0,3,3,0,60706.0,162385
2020-03-26,Pennsylvania,Centre,42027.0,9,0,1.0,0.0,3,3,0,60706.0,162385
2020-03-27,Pennsylvania,Centre,42027.0,11,0,2.0,0.0,3,3,0,60706.0,162385
2020-03-28,Pennsylvania,Centre,42027.0,15,0,4.0,0.0,3,3,0,60706.0,162385
2020-03-29,Pennsylvania,Centre,42027.0,22,0,7.0,0.0,3,3,0,60706.0,162385
2020-03-30,Pennsylvania,Centre,42027.0,24,0,2.0,0.0,3,3,0,60706.0,162385
2020-03-31,Pennsylvania,Centre,42027.0,26,0,2.0,0.0,3,3,0,60706.0,162385
2020-04-01,Pennsylvania,Centre,42027.0,28,0,2.0,0.0,3,3,0,60706.0,162385
2020-04-02,Pennsylvania,Centre,42027.0,29,0,1.0,0.0,3,3,0,60706.0,162385
2020-04-03,Pennsylvania,Centre,42027.0,33,0,4.0,0.0,3,3,0,60706.0,162385
2020-04-04,Pennsylvania,Centre,42027.0,40,0,7.0,0.0,3,3,0,60706.0,162385
2020-04-05,Pennsylvania,Centre,42027.0,45,0,5.0,0.0,3,3,0,60706.0,162385
2020-04-06,Pennsylvania,Centre,42027.0,47,0,2.0,0.0,3,3,0,60706.0,162385
2020-04-07,Pennsylvania,Centre,42027.0,55,0,8.0,0.0,3,3,0,60706.0,162385
2020-04-08,Pennsylvania,Centre,42027.0,58,0,3.0,0.0,4,4,0,60706.0,162385
2020-04-09,Pennsylvania,Centre,42027.0,60,0,2.0,0.0,4,4,0,60706.0,162385
2020-04-10,Pennsylvania,Centre,42027.0,62,0,2.0,0.0,4,4,0,60706.0,162385
2020-04-11,Pennsylvania,Centre,42027.0,69,0,7.0,0.0,4,4,0,60706.0,162385
2020-04-12,Pennsylvania,Centre,42027.0,70,0,1.0,0.0,4,4,0,60706.0,162385
2020-04-13,Pennsylvania,Centre,42027.0,70,0,0.0,0.0,4,4,0,60706.0,162385
