date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-23,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-24,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-25,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-26,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-27,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-28,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-29,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-30,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-01-31,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-01,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-02,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-03,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-04,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-05,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-06,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-07,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-08,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-09,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
2020-02-10,Texas,Hemphill,48211.0,0,0,0.0,0.0,0,0,0,252.10236220472441,3819
