date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-23,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-24,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-25,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-26,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-27,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-28,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-29,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-30,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-01-31,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-01,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-02,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-03,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-04,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-05,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-06,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-07,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-08,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-09,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-10,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-11,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-12,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-13,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-14,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-15,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-16,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-17,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-18,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-19,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-20,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-21,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-22,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-23,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-24,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-25,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-26,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-27,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-28,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-02-29,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-01,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-02,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-03,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-04,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-05,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-06,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-07,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-08,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-09,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-10,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-11,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-12,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-13,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-14,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-15,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-16,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-17,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-18,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-19,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-20,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-21,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-22,Vermont,Lamoille,50015.0,0,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-23,Vermont,Lamoille,50015.0,1,0,1.0,0.0,0,0,0,4500.071428571428,25362
2020-03-24,Vermont,Lamoille,50015.0,2,0,1.0,0.0,0,0,0,4500.071428571428,25362
2020-03-25,Vermont,Lamoille,50015.0,4,0,2.0,0.0,0,0,0,4500.071428571428,25362
2020-03-26,Vermont,Lamoille,50015.0,5,0,1.0,0.0,0,0,0,4500.071428571428,25362
2020-03-27,Vermont,Lamoille,50015.0,6,0,1.0,0.0,0,0,0,4500.071428571428,25362
2020-03-28,Vermont,Lamoille,50015.0,9,0,3.0,0.0,0,0,0,4500.071428571428,25362
2020-03-29,Vermont,Lamoille,50015.0,12,0,3.0,0.0,0,0,0,4500.071428571428,25362
2020-03-30,Vermont,Lamoille,50015.0,12,0,0.0,0.0,0,0,0,4500.071428571428,25362
2020-03-31,Vermont,Lamoille,50015.0,13,0,1.0,0.0,0,0,0,4500.071428571428,25362
2020-04-01,Vermont,Lamoille,50015.0,13,0,0.0,0.0,0,0,0,4500.071428571428,25362
