date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-23,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-24,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-25,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-26,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-27,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-28,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-29,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-30,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-01-31,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-01,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-02,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-03,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-04,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-05,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-06,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-07,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-08,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-09,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-10,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-11,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-12,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-13,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-14,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-15,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-16,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-17,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-18,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-19,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-20,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-21,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-22,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-23,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-24,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-25,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-26,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-27,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-28,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-02-29,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-01,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-02,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-03,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-04,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-05,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-06,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-07,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-08,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-09,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-10,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-11,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-12,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-13,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-14,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-15,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-16,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-17,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-18,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-19,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-20,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-21,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-22,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-23,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-24,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-25,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-26,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-27,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-28,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-29,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-30,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-03-31,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-01,Virginia,Salem,51775.0,0,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-02,Virginia,Salem,51775.0,1,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-04-03,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-04,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-05,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-06,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-07,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-08,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-09,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-10,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-11,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-12,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-13,Virginia,Salem,51775.0,1,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-14,Virginia,Salem,51775.0,3,0,2.0,0.0,0,0,0,574.8571428571429,62385
2020-04-15,Virginia,Salem,51775.0,3,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-16,Virginia,Salem,51775.0,4,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-04-17,Virginia,Salem,51775.0,6,0,2.0,0.0,0,0,0,574.8571428571429,62385
2020-04-18,Virginia,Salem,51775.0,6,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-19,Virginia,Salem,51775.0,6,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-20,Virginia,Salem,51775.0,6,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-21,Virginia,Salem,51775.0,6,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-22,Virginia,Salem,51775.0,8,0,2.0,0.0,0,0,0,574.8571428571429,62385
2020-04-23,Virginia,Salem,51775.0,8,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-24,Virginia,Salem,51775.0,8,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-25,Virginia,Salem,51775.0,8,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-04-26,Virginia,Salem,51775.0,9,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-04-27,Virginia,Salem,51775.0,11,0,2.0,0.0,0,0,0,574.8571428571429,62385
2020-04-28,Virginia,Salem,51775.0,12,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-04-29,Virginia,Salem,51775.0,16,0,4.0,0.0,0,0,0,574.8571428571429,62385
2020-04-30,Virginia,Salem,51775.0,26,0,10.0,0.0,0,0,0,574.8571428571429,62385
2020-05-01,Virginia,Salem,51775.0,26,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-02,Virginia,Salem,51775.0,26,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-03,Virginia,Salem,51775.0,26,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-04,Virginia,Salem,51775.0,27,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-05-05,Virginia,Salem,51775.0,31,0,4.0,0.0,0,0,0,574.8571428571429,62385
2020-05-06,Virginia,Salem,51775.0,30,0,-1.0,0.0,0,0,0,574.8571428571429,62385
2020-05-07,Virginia,Salem,51775.0,30,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-08,Virginia,Salem,51775.0,30,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-09,Virginia,Salem,51775.0,31,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-05-10,Virginia,Salem,51775.0,31,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-11,Virginia,Salem,51775.0,32,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-05-12,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-13,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-14,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-15,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-16,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-17,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-18,Virginia,Salem,51775.0,32,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-19,Virginia,Salem,51775.0,33,0,1.0,0.0,0,0,0,574.8571428571429,62385
2020-05-20,Virginia,Salem,51775.0,33,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-21,Virginia,Salem,51775.0,33,0,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-22,Virginia,Salem,51775.0,32,3,-1.0,3.0,0,0,0,574.8571428571429,62385
2020-05-23,Virginia,Salem,51775.0,32,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-24,Virginia,Salem,51775.0,32,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-25,Virginia,Salem,51775.0,32,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-26,Virginia,Salem,51775.0,32,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-27,Virginia,Salem,51775.0,32,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-28,Virginia,Salem,51775.0,32,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-29,Virginia,Salem,51775.0,34,3,2.0,0.0,0,0,0,574.8571428571429,62385
2020-05-30,Virginia,Salem,51775.0,34,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-05-31,Virginia,Salem,51775.0,34,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-06-01,Virginia,Salem,51775.0,34,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-06-02,Virginia,Salem,51775.0,34,3,0.0,0.0,0,0,0,574.8571428571429,62385
2020-06-03,Virginia,Salem,51775.0,36,3,2.0,0.0,0,0,0,574.8571428571429,62385
