date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-23,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-24,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-25,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-26,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-27,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-28,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-29,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-30,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-01-31,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-01,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-02,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-03,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-04,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-05,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-06,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-07,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-08,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-09,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-10,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-11,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-12,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-13,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-14,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-15,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-16,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-17,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-18,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-19,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-20,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-21,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-22,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-23,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-24,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-25,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-26,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-27,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-28,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-02-29,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-01,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-02,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-03,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-04,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-05,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-06,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-07,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-08,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-09,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-10,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-11,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-12,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-13,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-14,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-15,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-16,Washington,Klickitat,53039.0,0,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-17,Washington,Klickitat,53039.0,1,0,1.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-18,Washington,Klickitat,53039.0,1,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-19,Washington,Klickitat,53039.0,2,0,1.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-20,Washington,Klickitat,53039.0,2,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-21,Washington,Klickitat,53039.0,4,0,2.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-22,Washington,Klickitat,53039.0,4,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-23,Washington,Klickitat,53039.0,4,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-24,Washington,Klickitat,53039.0,4,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-25,Washington,Klickitat,53039.0,6,0,2.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-26,Washington,Klickitat,53039.0,7,0,1.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-27,Washington,Klickitat,53039.0,7,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-28,Washington,Klickitat,53039.0,7,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-29,Washington,Klickitat,53039.0,7,0,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-03-30,Washington,Klickitat,53039.0,8,1,1.0,1.0,1,1,0,2017.6153846153845,22425
2020-03-31,Washington,Klickitat,53039.0,9,1,1.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-01,Washington,Klickitat,53039.0,9,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-02,Washington,Klickitat,53039.0,9,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-03,Washington,Klickitat,53039.0,9,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-04,Washington,Klickitat,53039.0,9,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-05,Washington,Klickitat,53039.0,11,1,2.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-06,Washington,Klickitat,53039.0,11,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-07,Washington,Klickitat,53039.0,11,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-08,Washington,Klickitat,53039.0,11,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-09,Washington,Klickitat,53039.0,12,1,1.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-10,Washington,Klickitat,53039.0,12,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-11,Washington,Klickitat,53039.0,12,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-12,Washington,Klickitat,53039.0,14,1,2.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-13,Washington,Klickitat,53039.0,14,1,0.0,0.0,1,1,0,2017.6153846153845,22425
2020-04-14,Washington,Klickitat,53039.0,14,1,0.0,0.0,1,1,0,2017.6153846153845,22425
