date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-23,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-24,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-25,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-26,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-27,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-28,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-29,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-30,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-01-31,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-01,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-02,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-03,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-04,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-05,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-06,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-07,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-08,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-09,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-10,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-11,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-12,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-13,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-14,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-15,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-16,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-17,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-18,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-19,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-20,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-21,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-22,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-23,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-24,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-25,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-26,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-27,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-28,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-02-29,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-01,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-02,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-03,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-04,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-05,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-06,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-07,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-08,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-09,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-10,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-11,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-12,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-13,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-14,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-15,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-16,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-17,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-18,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-19,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-20,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-21,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-22,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-23,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-24,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-25,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-26,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-27,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-28,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-29,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-30,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-03-31,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-01,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-02,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-03,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-04,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-05,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-06,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-07,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-08,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-09,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-10,Wisconsin,Price,55099.0,0,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-11,Wisconsin,Price,55099.0,1,0,1.0,0.0,2,2,0,891.2222222222222,13351
2020-04-12,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-13,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-14,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-15,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-16,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-17,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-18,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-19,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-20,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-21,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-22,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-23,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-24,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-25,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-26,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-27,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-28,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-29,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-04-30,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-01,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-02,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-03,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-04,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-05,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-06,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-07,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-08,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-09,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-10,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-11,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-12,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-13,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-14,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-15,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-16,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-17,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-18,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-19,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-20,Wisconsin,Price,55099.0,1,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-21,Wisconsin,Price,55099.0,2,0,1.0,0.0,2,2,0,891.2222222222222,13351
2020-05-22,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-23,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-24,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-25,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-26,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-27,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-28,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-29,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-30,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-05-31,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-01,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-02,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-03,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-04,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-05,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-06,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-07,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-08,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-09,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-10,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-11,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-12,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-13,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-14,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-15,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-16,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-17,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-18,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-19,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-20,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-21,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-22,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-23,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-24,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-25,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-26,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-27,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-28,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-29,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-06-30,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-01,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-02,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-03,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-04,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-05,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-06,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-07,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-08,Wisconsin,Price,55099.0,2,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-09,Wisconsin,Price,55099.0,4,0,2.0,0.0,2,2,0,891.2222222222222,13351
2020-07-10,Wisconsin,Price,55099.0,6,0,2.0,0.0,2,2,0,891.2222222222222,13351
2020-07-11,Wisconsin,Price,55099.0,8,0,2.0,0.0,2,2,0,891.2222222222222,13351
2020-07-12,Wisconsin,Price,55099.0,8,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-13,Wisconsin,Price,55099.0,8,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-14,Wisconsin,Price,55099.0,8,0,0.0,0.0,2,2,0,891.2222222222222,13351
2020-07-15,Wisconsin,Price,55099.0,9,0,1.0,0.0,1,1,0,891.2222222222222,13351
2020-07-16,Wisconsin,Price,55099.0,9,0,0.0,0.0,1,1,0,891.2222222222222,13351
2020-07-17,Wisconsin,Price,55099.0,9,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-07-18,Wisconsin,Price,55099.0,11,0,2.0,0.0,1,1,0,891.2222222222222,13351
2020-07-19,Wisconsin,Price,55099.0,12,0,1.0,0.0,1,1,0,891.2222222222222,13351
2020-07-20,Wisconsin,Price,55099.0,13,0,1.0,0.0,1,1,0,891.2222222222222,13351
2020-07-21,Wisconsin,Price,55099.0,14,0,1.0,0.0,1,1,0,891.2222222222222,13351
2020-07-22,Wisconsin,Price,55099.0,16,0,2.0,0.0,0,0,0,891.2222222222222,13351
2020-07-23,Wisconsin,Price,55099.0,18,0,2.0,0.0,1,1,0,891.2222222222222,13351
2020-07-24,Wisconsin,Price,55099.0,18,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-07-25,Wisconsin,Price,55099.0,19,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-07-26,Wisconsin,Price,55099.0,19,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-07-27,Wisconsin,Price,55099.0,19,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-07-28,Wisconsin,Price,55099.0,19,0,0.0,0.0,1,1,0,891.2222222222222,13351
2020-07-29,Wisconsin,Price,55099.0,18,0,-1.0,0.0,1,1,0,891.2222222222222,13351
2020-07-30,Wisconsin,Price,55099.0,18,0,0.0,0.0,1,1,0,891.2222222222222,13351
2020-07-31,Wisconsin,Price,55099.0,19,0,1.0,0.0,1,1,0,891.2222222222222,13351
2020-08-01,Wisconsin,Price,55099.0,21,0,2.0,0.0,0,0,0,891.2222222222222,13351
2020-08-02,Wisconsin,Price,55099.0,22,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-03,Wisconsin,Price,55099.0,21,0,-1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-04,Wisconsin,Price,55099.0,22,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-05,Wisconsin,Price,55099.0,25,0,3.0,0.0,0,0,0,891.2222222222222,13351
2020-08-06,Wisconsin,Price,55099.0,26,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-07,Wisconsin,Price,55099.0,29,0,3.0,0.0,0,0,0,891.2222222222222,13351
2020-08-08,Wisconsin,Price,55099.0,33,0,4.0,0.0,0,0,0,891.2222222222222,13351
2020-08-09,Wisconsin,Price,55099.0,32,0,-1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-10,Wisconsin,Price,55099.0,33,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-11,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-12,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-13,Wisconsin,Price,55099.0,32,0,-1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-14,Wisconsin,Price,55099.0,32,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-15,Wisconsin,Price,55099.0,32,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-16,Wisconsin,Price,55099.0,33,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-17,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-18,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-19,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-20,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-21,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-22,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-23,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-24,Wisconsin,Price,55099.0,33,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-25,Wisconsin,Price,55099.0,34,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-26,Wisconsin,Price,55099.0,35,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-27,Wisconsin,Price,55099.0,37,0,2.0,0.0,0,0,0,891.2222222222222,13351
2020-08-28,Wisconsin,Price,55099.0,36,0,-1.0,0.0,0,0,0,891.2222222222222,13351
2020-08-29,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-30,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-08-31,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-01,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-02,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-03,Wisconsin,Price,55099.0,35,0,-1.0,0.0,0,0,0,891.2222222222222,13351
2020-09-04,Wisconsin,Price,55099.0,36,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-09-05,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-06,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-07,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-08,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-09,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-10,Wisconsin,Price,55099.0,36,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-11,Wisconsin,Price,55099.0,37,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-09-12,Wisconsin,Price,55099.0,37,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-13,Wisconsin,Price,55099.0,38,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-09-14,Wisconsin,Price,55099.0,38,0,0.0,0.0,0,0,0,891.2222222222222,13351
2020-09-15,Wisconsin,Price,55099.0,39,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-09-16,Wisconsin,Price,55099.0,40,0,1.0,0.0,0,0,0,891.2222222222222,13351
2020-09-17,Wisconsin,Price,55099.0,41,0,1.0,0.0,0,0,0,891.2222222222222,13351
