date,state,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-23,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-24,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-25,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-26,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-27,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-28,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-29,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-30,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-01-31,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-01,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-02,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-03,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-04,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-05,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-06,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-07,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-08,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-09,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-10,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-11,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-12,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-13,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-14,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-15,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-16,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-17,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-18,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-19,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-20,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-21,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-22,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-23,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-24,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-25,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-26,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-27,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-28,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-02-29,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-01,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-02,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-03,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-04,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-05,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-06,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-07,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-08,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-09,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-10,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-11,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-12,Idaho,0.0,0,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-13,Idaho,0.0,1,0,1.0,0.0,26,26,1,60999.0,1787065
2020-03-14,Idaho,0.0,2,0,1.0,0.0,26,26,1,60999.0,1787065
2020-03-15,Idaho,0.0,4,0,2.0,0.0,26,26,1,60999.0,1787065
2020-03-16,Idaho,0.0,4,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-17,Idaho,0.0,8,0,4.0,0.0,26,26,1,60999.0,1787065
2020-03-18,Idaho,0.0,9,0,1.0,0.0,26,26,1,60999.0,1787065
2020-03-19,Idaho,0.0,23,0,14.0,0.0,26,26,1,60999.0,1787065
2020-03-20,Idaho,0.0,36,0,13.0,0.0,26,26,1,60999.0,1787065
2020-03-21,Idaho,0.0,42,0,6.0,0.0,26,26,1,60999.0,1787065
2020-03-22,Idaho,0.0,42,0,0.0,0.0,26,26,1,60999.0,1787065
2020-03-23,Idaho,0.0,68,0,26.0,0.0,26,26,1,60999.0,1787065
2020-03-24,Idaho,0.0,81,0,13.0,0.0,26,26,1,60999.0,1787065
2020-03-25,Idaho,0.0,91,0,10.0,0.0,26,26,1,60999.0,1787065
2020-03-26,Idaho,0.0,146,3,55.0,3.0,26,26,1,60999.0,1787065
2020-03-27,Idaho,0.0,205,3,59.0,0.0,26,26,1,60999.0,1787065
2020-03-28,Idaho,0.0,234,4,29.0,1.0,26,26,1,60999.0,1787065
2020-03-29,Idaho,0.0,281,5,47.0,1.0,26,26,1,60999.0,1787065
2020-03-30,Idaho,0.0,340,6,59.0,1.0,26,26,1,60999.0,1787065
2020-03-31,Idaho,0.0,515,8,175.0,2.0,26,26,1,60999.0,1787065
2020-04-01,Idaho,0.0,566,9,51.0,1.0,26,26,1,60999.0,1787065
2020-04-02,Idaho,0.0,776,9,210.0,0.0,26,26,1,60999.0,1787065
2020-04-03,Idaho,0.0,891,9,115.0,0.0,26,26,1,60999.0,1787065
2020-04-04,Idaho,0.0,1022,10,131.0,1.0,26,26,1,60999.0,1787065
2020-04-05,Idaho,0.0,1078,10,56.0,0.0,26,26,1,60999.0,1787065
2020-04-06,Idaho,0.0,1101,10,23.0,0.0,26,26,1,60999.0,1787065
2020-04-07,Idaho,0.0,1170,13,69.0,3.0,26,26,1,60999.0,1787065
2020-04-08,Idaho,0.0,1210,15,40.0,2.0,26,26,1,60999.0,1787065
2020-04-09,Idaho,0.0,1232,18,22.0,3.0,26,26,1,60999.0,1787065
2020-04-10,Idaho,0.0,1354,24,122.0,6.0,26,26,1,60999.0,1787065
2020-04-11,Idaho,0.0,1396,25,42.0,1.0,26,26,1,60999.0,1787065
2020-04-12,Idaho,0.0,1407,27,11.0,2.0,26,26,1,60999.0,1787065
2020-04-13,Idaho,0.0,1426,27,19.0,0.0,26,26,1,60999.0,1787065
2020-04-14,Idaho,0.0,1464,33,38.0,6.0,26,26,1,60999.0,1787065
2020-04-15,Idaho,0.0,1473,39,9.0,6.0,26,26,1,60999.0,1787065
2020-04-16,Idaho,0.0,1587,41,114.0,2.0,26,26,1,60999.0,1787065
2020-04-17,Idaho,0.0,1609,41,22.0,0.0,26,26,1,60999.0,1787065
2020-04-18,Idaho,0.0,1655,43,46.0,2.0,26,26,1,60999.0,1787065
2020-04-19,Idaho,0.0,1668,44,13.0,1.0,26,26,1,60999.0,1787065
2020-04-20,Idaho,0.0,1672,45,4.0,1.0,26,26,1,60999.0,1787065
2020-04-21,Idaho,0.0,1736,48,64.0,3.0,26,26,1,60999.0,1787065
2020-04-22,Idaho,0.0,1766,51,30.0,3.0,26,26,1,60999.0,1787065
2020-04-23,Idaho,0.0,1836,54,70.0,3.0,26,26,1,60999.0,1787065
2020-04-24,Idaho,0.0,1870,54,34.0,0.0,26,26,1,60999.0,1787065
2020-04-25,Idaho,0.0,1887,56,17.0,2.0,26,26,1,60999.0,1787065
2020-04-26,Idaho,0.0,1897,56,10.0,0.0,26,26,1,60999.0,1787065
2020-04-27,Idaho,0.0,1897,56,0.0,0.0,26,26,1,60999.0,1787065
2020-04-28,Idaho,0.0,1952,60,55.0,4.0,26,26,1,60999.0,1787065
2020-04-29,Idaho,0.0,1952,60,0.0,0.0,26,26,1,60999.0,1787065
2020-04-30,Idaho,0.0,1984,60,32.0,0.0,26,26,1,60999.0,1787065
2020-05-01,Idaho,0.0,2015,63,31.0,3.0,26,26,1,60999.0,1787065
2020-05-02,Idaho,0.0,2061,64,46.0,1.0,26,26,1,60999.0,1787065
2020-05-03,Idaho,0.0,2061,64,0.0,0.0,26,26,1,60999.0,1787065
2020-05-04,Idaho,0.0,2106,64,45.0,0.0,26,26,1,60999.0,1787065
2020-05-05,Idaho,0.0,2127,65,21.0,1.0,26,26,1,60999.0,1787065
2020-05-06,Idaho,0.0,2158,66,31.0,1.0,26,26,1,60999.0,1787065
2020-05-07,Idaho,0.0,2178,67,20.0,1.0,26,26,1,60999.0,1787065
2020-05-08,Idaho,0.0,2178,67,0.0,0.0,26,26,1,60999.0,1787065
2020-05-09,Idaho,0.0,2205,67,27.0,0.0,26,26,1,60999.0,1787065
2020-05-10,Idaho,0.0,2230,67,25.0,0.0,26,26,1,60999.0,1787065
2020-05-11,Idaho,0.0,2260,70,30.0,3.0,26,26,1,60999.0,1787065
2020-05-12,Idaho,0.0,2293,69,33.0,-1.0,26,26,1,60999.0,1787065
2020-05-13,Idaho,0.0,2293,69,0.0,0.0,26,26,1,60999.0,1787065
2020-05-14,Idaho,0.0,2351,72,58.0,3.0,26,26,1,60999.0,1787065
2020-05-15,Idaho,0.0,2351,72,0.0,0.0,26,26,1,60999.0,1787065
2020-05-16,Idaho,0.0,2419,73,68.0,1.0,26,26,1,60999.0,1787065
2020-05-17,Idaho,0.0,2419,73,0.0,0.0,26,26,1,60999.0,1787065
2020-05-18,Idaho,0.0,2455,74,36.0,1.0,26,26,1,60999.0,1787065
2020-05-19,Idaho,0.0,2455,74,0.0,0.0,26,26,1,60999.0,1787065
2020-05-20,Idaho,0.0,2506,77,51.0,3.0,26,26,1,60999.0,1787065
2020-05-21,Idaho,0.0,2506,77,0.0,0.0,26,26,1,60999.0,1787065
2020-05-22,Idaho,0.0,2595,79,89.0,2.0,26,26,1,60999.0,1787065
2020-05-23,Idaho,0.0,2595,79,0.0,0.0,26,26,1,60999.0,1787065
2020-05-24,Idaho,0.0,2626,79,31.0,0.0,26,26,1,60999.0,1787065
2020-05-25,Idaho,0.0,2626,79,0.0,0.0,26,26,1,60999.0,1787065
2020-05-26,Idaho,0.0,2626,79,0.0,0.0,26,26,1,60999.0,1787065
2020-05-27,Idaho,0.0,2699,81,73.0,2.0,26,26,1,60999.0,1787065
2020-05-28,Idaho,0.0,2770,82,71.0,1.0,26,26,1,60999.0,1787065
2020-05-29,Idaho,0.0,2770,82,0.0,0.0,26,26,1,60999.0,1787065
2020-05-30,Idaho,0.0,2803,82,33.0,0.0,26,26,1,60999.0,1787065
2020-05-31,Idaho,0.0,2839,82,36.0,0.0,26,26,1,60999.0,1787065
2020-06-01,Idaho,0.0,2839,82,0.0,0.0,26,26,1,60999.0,1787065
2020-06-02,Idaho,0.0,2933,83,94.0,1.0,26,26,1,60999.0,1787065
2020-06-03,Idaho,0.0,2933,83,0.0,0.0,26,26,1,60999.0,1787065
2020-06-04,Idaho,0.0,2990,83,57.0,0.0,26,26,1,60999.0,1787065
2020-06-05,Idaho,0.0,3111,83,121.0,0.0,26,26,1,60999.0,1787065
2020-06-06,Idaho,0.0,3139,83,28.0,0.0,26,26,1,60999.0,1787065
2020-06-07,Idaho,0.0,3139,83,0.0,0.0,26,26,1,60999.0,1787065
2020-06-08,Idaho,0.0,3189,83,50.0,0.0,26,26,1,60999.0,1787065
2020-06-09,Idaho,0.0,3221,85,32.0,2.0,26,26,1,60999.0,1787065
2020-06-10,Idaho,0.0,3260,85,39.0,0.0,26,26,1,60999.0,1787065
2020-06-11,Idaho,0.0,3260,85,0.0,0.0,26,26,1,60999.0,1787065
2020-06-12,Idaho,0.0,3353,87,93.0,2.0,26,26,1,60999.0,1787065
2020-06-13,Idaho,0.0,3353,87,0.0,0.0,26,26,1,60999.0,1787065
