date,state,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-23,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-24,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-25,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-26,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-27,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-28,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-29,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-30,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-01-31,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-01,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-02,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-03,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-04,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-05,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-06,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-07,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-08,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-09,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-10,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-11,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-12,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-13,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-14,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-15,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-16,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-17,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-18,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-19,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-20,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-21,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-22,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-23,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-24,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-25,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-26,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-27,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-28,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-02-29,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-01,New Hampshire,0.0,0,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-02,New Hampshire,0.0,1,0,1.0,0.0,-13,-13,0,77933.0,1359711
2020-03-03,New Hampshire,0.0,2,0,1.0,0.0,-13,-13,0,77933.0,1359711
2020-03-04,New Hampshire,0.0,2,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-05,New Hampshire,0.0,2,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-06,New Hampshire,0.0,2,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-07,New Hampshire,0.0,2,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-08,New Hampshire,0.0,4,0,2.0,0.0,-13,-13,0,77933.0,1359711
2020-03-09,New Hampshire,0.0,4,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-10,New Hampshire,0.0,4,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-11,New Hampshire,0.0,5,0,1.0,0.0,-13,-13,0,77933.0,1359711
2020-03-12,New Hampshire,0.0,6,0,1.0,0.0,-13,-13,0,77933.0,1359711
2020-03-13,New Hampshire,0.0,6,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-14,New Hampshire,0.0,7,0,1.0,0.0,-13,-13,0,77933.0,1359711
2020-03-15,New Hampshire,0.0,7,0,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-16,New Hampshire,0.0,17,0,10.0,0.0,-13,-13,0,77933.0,1359711
2020-03-17,New Hampshire,0.0,26,0,9.0,0.0,-13,-13,0,77933.0,1359711
2020-03-18,New Hampshire,0.0,37,0,11.0,0.0,-13,-13,0,77933.0,1359711
2020-03-19,New Hampshire,0.0,42,0,5.0,0.0,-13,-13,0,77933.0,1359711
2020-03-20,New Hampshire,0.0,53,0,11.0,0.0,-13,-13,0,77933.0,1359711
2020-03-21,New Hampshire,0.0,61,0,8.0,0.0,-13,-13,0,77933.0,1359711
2020-03-22,New Hampshire,0.0,73,0,12.0,0.0,-13,-13,0,77933.0,1359711
2020-03-23,New Hampshire,0.0,101,1,28.0,1.0,-13,-13,0,77933.0,1359711
2020-03-24,New Hampshire,0.0,101,1,0.0,0.0,-13,-13,0,77933.0,1359711
2020-03-25,New Hampshire,0.0,108,1,7.0,0.0,-12,-12,0,77933.0,1359711
2020-03-26,New Hampshire,0.0,137,1,29.0,0.0,-12,-12,0,77933.0,1359711
2020-03-27,New Hampshire,0.0,158,1,21.0,0.0,-12,-12,0,77933.0,1359711
2020-03-28,New Hampshire,0.0,187,2,29.0,1.0,-12,-12,0,77933.0,1359711
2020-03-29,New Hampshire,0.0,214,2,27.0,0.0,-12,-12,0,77933.0,1359711
2020-03-30,New Hampshire,0.0,314,3,100.0,1.0,-12,-11,0,77933.0,1359711
2020-03-31,New Hampshire,0.0,357,3,43.0,0.0,-11,-11,0,77933.0,1359711
2020-04-01,New Hampshire,0.0,367,3,10.0,0.0,-11,-11,0,77933.0,1359711
2020-04-02,New Hampshire,0.0,479,3,112.0,0.0,-11,-10,0,77933.0,1359711
2020-04-03,New Hampshire,0.0,479,5,0.0,2.0,-10,-10,0,77933.0,1359711
2020-04-04,New Hampshire,0.0,540,7,61.0,2.0,-10,-10,0,77933.0,1359711
2020-04-05,New Hampshire,0.0,621,9,81.0,2.0,-10,-10,0,77933.0,1359711
2020-04-06,New Hampshire,0.0,715,9,94.0,0.0,-10,-9,0,77933.0,1359711
2020-04-07,New Hampshire,0.0,715,9,0.0,0.0,-9,-9,0,77933.0,1359711
2020-04-08,New Hampshire,0.0,747,13,32.0,4.0,-9,-9,0,77933.0,1359711
2020-04-09,New Hampshire,0.0,819,21,72.0,8.0,-9,-9,0,77933.0,1359711
2020-04-10,New Hampshire,0.0,819,21,0.0,0.0,-8,-8,0,77933.0,1359711
2020-04-11,New Hampshire,0.0,885,22,66.0,1.0,-8,-8,0,77933.0,1359711
2020-04-12,New Hampshire,0.0,929,23,44.0,1.0,-8,-8,0,77933.0,1359711
2020-04-13,New Hampshire,0.0,985,23,56.0,0.0,-8,-8,0,77933.0,1359711
2020-04-14,New Hampshire,0.0,922,25,-63.0,2.0,-7,-7,0,77933.0,1359711
2020-04-15,New Hampshire,0.0,1139,32,217.0,7.0,-7,-7,0,77933.0,1359711
2020-04-16,New Hampshire,0.0,1139,32,0.0,0.0,-7,-6,0,77933.0,1359711
2020-04-17,New Hampshire,0.0,1287,37,148.0,5.0,-6,-6,0,77933.0,1359711
2020-04-18,New Hampshire,0.0,1342,38,55.0,1.0,-6,-6,0,77933.0,1359711
2020-04-19,New Hampshire,0.0,1390,38,48.0,0.0,-6,-6,0,77933.0,1359711
2020-04-20,New Hampshire,0.0,1447,42,57.0,4.0,-6,-6,0,77933.0,1359711
2020-04-21,New Hampshire,0.0,1490,42,43.0,0.0,-6,-6,0,77933.0,1359711
2020-04-22,New Hampshire,0.0,1588,48,98.0,6.0,-6,-6,0,77933.0,1359711
2020-04-23,New Hampshire,0.0,1670,51,82.0,3.0,-5,-5,0,77933.0,1359711
2020-04-24,New Hampshire,0.0,1720,53,50.0,2.0,-5,-5,0,77933.0,1359711
2020-04-25,New Hampshire,0.0,1797,53,77.0,0.0,-5,-5,0,77933.0,1359711
2020-04-26,New Hampshire,0.0,1864,60,67.0,7.0,-5,-5,0,77933.0,1359711
2020-04-27,New Hampshire,0.0,1938,60,74.0,0.0,-5,-4,0,77933.0,1359711
2020-04-28,New Hampshire,0.0,2010,60,72.0,0.0,-4,-4,0,77933.0,1359711
2020-04-29,New Hampshire,0.0,2058,60,48.0,0.0,-4,-4,0,77933.0,1359711
2020-04-30,New Hampshire,0.0,2146,72,88.0,12.0,-4,-4,0,77933.0,1359711
2020-05-01,New Hampshire,0.0,2310,81,164.0,9.0,-4,-4,0,77933.0,1359711
2020-05-02,New Hampshire,0.0,2429,84,119.0,3.0,-3,-3,0,77933.0,1359711
2020-05-03,New Hampshire,0.0,2518,86,89.0,2.0,-3,-3,0,77933.0,1359711
2020-05-04,New Hampshire,0.0,2588,86,70.0,0.0,-3,-3,0,77933.0,1359711
2020-05-05,New Hampshire,0.0,2636,92,48.0,6.0,-3,-3,0,77933.0,1359711
2020-05-06,New Hampshire,0.0,2741,92,105.0,0.0,-2,-2,0,77933.0,1359711
2020-05-07,New Hampshire,0.0,2843,114,102.0,22.0,-2,-2,0,77933.0,1359711
