date,state,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-23,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-24,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-25,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-26,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-27,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-28,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-29,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-30,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-01-31,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-01,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-02,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-03,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-04,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-05,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-06,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-07,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-08,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-09,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-10,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-11,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-12,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-13,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-14,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-15,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-16,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-17,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-18,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-19,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-20,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-21,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-22,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-23,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-24,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-25,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-26,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-27,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-28,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-02-29,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-03-01,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-03-02,New York,0.0,0,0,0.0,0.0,129,127,2,72108.0,19453561
2020-03-03,New York,0.0,1,0,1.0,0.0,129,127,2,72108.0,19453561
2020-03-04,New York,0.0,10,0,9.0,0.0,129,127,2,72108.0,19453561
2020-03-05,New York,0.0,21,0,11.0,0.0,129,127,2,72108.0,19453561
2020-03-06,New York,0.0,24,0,3.0,0.0,129,127,2,72108.0,19453561
2020-03-07,New York,0.0,76,0,52.0,0.0,129,127,2,72108.0,19453561
2020-03-08,New York,0.0,105,0,29.0,0.0,129,127,2,72108.0,19453561
2020-03-09,New York,0.0,138,0,33.0,0.0,129,127,2,72108.0,19453561
2020-03-10,New York,0.0,152,0,14.0,0.0,129,127,2,72108.0,19453561
2020-03-11,New York,0.0,216,1,64.0,1.0,129,127,2,72108.0,19453561
2020-03-12,New York,0.0,296,1,80.0,0.0,129,127,2,72108.0,19453561
2020-03-13,New York,0.0,379,1,83.0,0.0,129,127,2,72108.0,19453561
2020-03-14,New York,0.0,557,5,178.0,4.0,129,127,2,72108.0,19453561
2020-03-15,New York,0.0,633,10,76.0,5.0,129,127,2,72108.0,19453561
2020-03-16,New York,0.0,961,21,328.0,11.0,129,127,2,72108.0,19453561
2020-03-17,New York,0.0,1407,35,446.0,14.0,129,127,2,72108.0,19453561
2020-03-18,New York,0.0,2507,60,1100.0,25.0,134,132,2,72108.0,19453561
2020-03-19,New York,0.0,4221,88,1714.0,28.0,146,144,3,72108.0,19453561
2020-03-20,New York,0.0,7660,143,3439.0,55.0,172,168,3,72108.0,19453561
2020-03-21,New York,0.0,10410,195,2750.0,52.0,195,191,4,72108.0,19453561
2020-03-22,New York,0.0,15191,249,4781.0,54.0,231,226,5,72108.0,19453561
2020-03-23,New York,0.0,20884,351,5693.0,102.0,266,260,6,72108.0,19453561
2020-03-24,New York,0.0,25681,475,4797.0,124.0,309,302,7,72108.0,19453561
2020-03-25,New York,0.0,30841,632,5160.0,157.0,353,345,8,72108.0,19453561
2020-03-26,New York,0.0,37397,867,6556.0,235.0,428,417,11,72108.0,19453561
2020-03-27,New York,0.0,44701,1132,7304.0,265.0,497,484,13,72108.0,19453561
2020-03-28,New York,0.0,52400,1484,7699.0,352.0,547,533,14,72108.0,19453561
2020-03-29,New York,0.0,59648,1866,7248.0,382.0,617,601,16,72108.0,19453561
2020-03-30,New York,0.0,66663,2278,7015.0,412.0,678,660,18,72108.0,19453561
2020-03-31,New York,0.0,75853,2767,9190.0,489.0,762,742,20,72108.0,19453561
2020-04-01,New York,0.0,90377,3393,14524.0,626.0,840,818,22,72108.0,19453561
2020-04-02,New York,0.0,100780,4120,10403.0,727.0,909,885,24,72108.0,19453561
2020-04-03,New York,0.0,111455,4857,10675.0,737.0,994,968,27,72108.0,19453561
2020-04-04,New York,0.0,121705,5688,10250.0,831.0,1060,1031,29,72108.0,19453561
2020-04-05,New York,0.0,132700,6612,10995.0,924.0,1094,1064,30,72108.0,19453561
2020-04-06,New York,0.0,142561,7637,9861.0,1025.0,1115,1085,30,72108.0,19453561
2020-04-07,New York,0.0,149974,8908,7413.0,1271.0,1154,1123,31,72108.0,19453561
2020-04-08,New York,0.0,160185,9851,10211.0,943.0,1190,1157,32,72108.0,19453561
2020-04-09,New York,0.0,172256,10903,12071.0,1052.0,1201,1169,33,72108.0,19453561
2020-04-10,New York,0.0,183729,11815,11473.0,912.0,1219,1186,33,72108.0,19453561
2020-04-11,New York,0.0,192262,12751,8533.0,936.0,0,0,0,72108.0,19453561
2020-04-12,New York,0.0,200635,13707,8373.0,956.0,1227,1194,33,72108.0,19453561
2020-04-13,New York,0.0,208488,14696,7853.0,989.0,1234,1201,33,72108.0,19453561
2020-04-14,New York,0.0,215959,15577,7471.0,881.0,1226,1193,33,72108.0,19453561
2020-04-15,New York,0.0,222617,16346,6658.0,769.0,1205,1172,33,72108.0,19453561
2020-04-16,New York,0.0,230506,17137,7889.0,791.0,1169,1137,32,72108.0,19453561
