date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-23,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-24,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-25,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-26,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-27,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-28,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-29,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-30,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-01-31,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-01,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-02,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-03,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-04,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-05,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-06,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-07,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-08,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-09,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-10,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-11,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-12,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-13,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-14,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-15,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-16,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-17,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-18,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-19,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-20,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-21,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-22,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-23,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-24,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
2020-02-25,Alabama,Coffee,1031.0,0,0,0.0,0.0,1,1,0,772.1492537313433,52342
