date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-23,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-24,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-25,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-26,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-27,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-28,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-29,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-30,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-01-31,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-01,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-02,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-03,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-04,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-05,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-06,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-07,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-08,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-09,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-10,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-11,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-12,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-13,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-14,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-15,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-16,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-17,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-18,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-19,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-20,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
2020-02-21,Alabama,Limestone,1083.0,0,0,0.0,0.0,1,1,0,63695.0,98915
