date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-23,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-24,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-25,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-26,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-27,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-28,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-29,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-30,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-01-31,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-01,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-02,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-03,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-04,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-05,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-06,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-07,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-08,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-09,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-10,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-11,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-12,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-13,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-14,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-15,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-16,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-17,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-18,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-19,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-20,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-21,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-22,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-23,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-24,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-25,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-26,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-27,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-28,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-02-29,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-03-01,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-03-02,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-03-03,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-03-04,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
2020-03-05,Alaska,Matanuska-Susitna,2170.0,0,0,0.0,0.0,0,0,0,74709.0,108317
