date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-23,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-24,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-25,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-26,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-27,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-28,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-29,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-30,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-01-31,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-01,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-02,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-03,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-04,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-05,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-06,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-07,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-08,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-09,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-10,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-11,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-12,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-13,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-14,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-15,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-16,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-17,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-18,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-19,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-20,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-21,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-22,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-23,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-24,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-25,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-26,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-27,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-28,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-02-29,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-01,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-02,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-03,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-04,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-05,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-06,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-07,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-08,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-09,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-10,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-11,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-12,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-13,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-14,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-15,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-16,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-17,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-18,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-19,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-20,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-21,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-22,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-23,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-24,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-25,Arizona,La Paz,4012.0,0,0,0.0,0.0,6,5,0,4137.0,21108
2020-03-26,Arizona,La Paz,4012.0,2,0,2.0,0.0,6,5,0,4137.0,21108
2020-03-27,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-03-28,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-03-29,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-03-30,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-03-31,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-01,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-02,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-03,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-04,Arizona,La Paz,4012.0,2,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-05,Arizona,La Paz,4012.0,3,0,1.0,0.0,6,6,0,4137.0,21108
2020-04-06,Arizona,La Paz,4012.0,3,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-07,Arizona,La Paz,4012.0,3,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-08,Arizona,La Paz,4012.0,3,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-09,Arizona,La Paz,4012.0,4,0,1.0,0.0,6,6,0,4137.0,21108
2020-04-10,Arizona,La Paz,4012.0,4,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-11,Arizona,La Paz,4012.0,4,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-12,Arizona,La Paz,4012.0,4,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-13,Arizona,La Paz,4012.0,4,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-14,Arizona,La Paz,4012.0,4,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-15,Arizona,La Paz,4012.0,5,0,1.0,0.0,6,6,0,4137.0,21108
2020-04-16,Arizona,La Paz,4012.0,5,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-17,Arizona,La Paz,4012.0,5,0,0.0,0.0,6,6,0,4137.0,21108
2020-04-18,Arizona,La Paz,4012.0,5,1,0.0,1.0,6,6,0,4137.0,21108
2020-04-19,Arizona,La Paz,4012.0,5,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-20,Arizona,La Paz,4012.0,5,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-21,Arizona,La Paz,4012.0,6,1,1.0,0.0,6,6,0,4137.0,21108
2020-04-22,Arizona,La Paz,4012.0,6,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-23,Arizona,La Paz,4012.0,6,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-24,Arizona,La Paz,4012.0,8,1,2.0,0.0,6,6,0,4137.0,21108
2020-04-25,Arizona,La Paz,4012.0,7,1,-1.0,0.0,6,6,0,4137.0,21108
2020-04-26,Arizona,La Paz,4012.0,7,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-27,Arizona,La Paz,4012.0,7,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-28,Arizona,La Paz,4012.0,7,1,0.0,0.0,6,6,0,4137.0,21108
2020-04-29,Arizona,La Paz,4012.0,8,1,1.0,0.0,6,6,0,4137.0,21108
2020-04-30,Arizona,La Paz,4012.0,14,1,6.0,0.0,6,6,0,4137.0,21108
2020-05-01,Arizona,La Paz,4012.0,15,1,1.0,0.0,6,6,0,4137.0,21108
2020-05-02,Arizona,La Paz,4012.0,14,1,-1.0,0.0,6,6,0,4137.0,21108
2020-05-03,Arizona,La Paz,4012.0,14,1,0.0,0.0,6,6,0,4137.0,21108
2020-05-04,Arizona,La Paz,4012.0,14,1,0.0,0.0,6,6,0,4137.0,21108
2020-05-05,Arizona,La Paz,4012.0,16,1,2.0,0.0,6,6,0,4137.0,21108
2020-05-06,Arizona,La Paz,4012.0,18,1,2.0,0.0,6,6,0,4137.0,21108
2020-05-07,Arizona,La Paz,4012.0,20,1,2.0,0.0,6,6,0,4137.0,21108
2020-05-08,Arizona,La Paz,4012.0,22,1,2.0,0.0,6,6,0,4137.0,21108
2020-05-09,Arizona,La Paz,4012.0,22,1,0.0,0.0,6,6,0,4137.0,21108
2020-05-10,Arizona,La Paz,4012.0,23,1,1.0,0.0,6,6,0,4137.0,21108
2020-05-11,Arizona,La Paz,4012.0,23,1,0.0,0.0,6,6,0,4137.0,21108
2020-05-12,Arizona,La Paz,4012.0,22,1,-1.0,0.0,6,6,0,4137.0,21108
2020-05-13,Arizona,La Paz,4012.0,25,1,3.0,0.0,6,6,0,4137.0,21108
2020-05-14,Arizona,La Paz,4012.0,27,1,2.0,0.0,6,6,0,4137.0,21108
2020-05-15,Arizona,La Paz,4012.0,36,1,9.0,0.0,6,6,0,4137.0,21108
2020-05-16,Arizona,La Paz,4012.0,37,1,1.0,0.0,6,6,0,4137.0,21108
2020-05-17,Arizona,La Paz,4012.0,38,1,1.0,0.0,6,6,0,4137.0,21108
2020-05-18,Arizona,La Paz,4012.0,38,1,0.0,0.0,6,6,0,4137.0,21108
2020-05-19,Arizona,La Paz,4012.0,38,1,0.0,0.0,6,6,0,4137.0,21108
2020-05-20,Arizona,La Paz,4012.0,40,1,2.0,0.0,6,6,0,4137.0,21108
2020-05-21,Arizona,La Paz,4012.0,45,1,5.0,0.0,6,6,0,4137.0,21108
2020-05-22,Arizona,La Paz,4012.0,48,1,3.0,0.0,7,6,0,4137.0,21108
2020-05-23,Arizona,La Paz,4012.0,49,1,1.0,0.0,7,6,0,4137.0,21108
2020-05-24,Arizona,La Paz,4012.0,50,1,1.0,0.0,7,6,0,4137.0,21108
2020-05-25,Arizona,La Paz,4012.0,51,1,1.0,0.0,7,6,0,4137.0,21108
2020-05-26,Arizona,La Paz,4012.0,51,1,0.0,0.0,7,6,0,4137.0,21108
2020-05-27,Arizona,La Paz,4012.0,54,1,3.0,0.0,7,6,0,4137.0,21108
