date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-23,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-24,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-25,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-26,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-27,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-28,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-29,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-30,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-01-31,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-01,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-02,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-03,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-04,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-05,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-06,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-07,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-08,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-09,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-10,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-11,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-12,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-13,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-14,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-15,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-16,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-17,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-18,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-19,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-20,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-21,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-22,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-23,California,Riverside,6065.0,0,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-24,California,Riverside,6065.0,1,0,1.0,0.0,1,1,0,73260.0,2470546
2020-02-25,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-26,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-27,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-28,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-02-29,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-01,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-02,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-03,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-04,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-05,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-06,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-07,California,Riverside,6065.0,1,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-08,California,Riverside,6065.0,2,0,1.0,0.0,1,1,0,73260.0,2470546
2020-03-09,California,Riverside,6065.0,5,0,3.0,0.0,1,1,0,73260.0,2470546
2020-03-10,California,Riverside,6065.0,5,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-11,California,Riverside,6065.0,5,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-12,California,Riverside,6065.0,6,0,1.0,0.0,1,1,0,73260.0,2470546
2020-03-13,California,Riverside,6065.0,7,0,1.0,0.0,1,1,0,73260.0,2470546
2020-03-14,California,Riverside,6065.0,12,0,5.0,0.0,1,1,0,73260.0,2470546
2020-03-15,California,Riverside,6065.0,12,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-16,California,Riverside,6065.0,12,0,0.0,0.0,1,1,0,73260.0,2470546
2020-03-17,California,Riverside,6065.0,13,0,1.0,0.0,1,1,0,73260.0,2470546
2020-03-18,California,Riverside,6065.0,13,2,0.0,2.0,1,1,0,73260.0,2470546
2020-03-19,California,Riverside,6065.0,16,3,3.0,1.0,1,1,0,73260.0,2470546
2020-03-20,California,Riverside,6065.0,22,3,6.0,0.0,1,1,0,73260.0,2470546
2020-03-21,California,Riverside,6065.0,23,3,1.0,0.0,1,1,0,73260.0,2470546
2020-03-22,California,Riverside,6065.0,29,5,6.0,2.0,1,1,0,73260.0,2470546
2020-03-23,California,Riverside,6065.0,44,5,15.0,0.0,1,1,0,73260.0,2470546
2020-03-24,California,Riverside,6065.0,61,5,17.0,0.0,1,1,0,73260.0,2470546
2020-03-25,California,Riverside,6065.0,92,5,31.0,0.0,1,1,0,73260.0,2470546
2020-03-26,California,Riverside,6065.0,123,7,31.0,2.0,1,1,0,73260.0,2470546
2020-03-27,California,Riverside,6065.0,126,7,3.0,0.0,1,1,0,73260.0,2470546
2020-03-28,California,Riverside,6065.0,247,14,121.0,7.0,2,2,0,73260.0,2470546
2020-03-29,California,Riverside,6065.0,127,7,-120.0,-7.0,2,2,0,73260.0,2470546
2020-03-30,California,Riverside,6065.0,209,7,82.0,0.0,2,2,0,73260.0,2470546
2020-03-31,California,Riverside,6065.0,289,8,80.0,1.0,3,3,0,73260.0,2470546
2020-04-01,California,Riverside,6065.0,315,11,26.0,3.0,3,3,0,73260.0,2470546
2020-04-02,California,Riverside,6065.0,447,13,132.0,2.0,3,3,0,73260.0,2470546
2020-04-03,California,Riverside,6065.0,549,14,102.0,1.0,4,4,0,73260.0,2470546
2020-04-04,California,Riverside,6065.0,661,15,112.0,1.0,4,4,0,73260.0,2470546
2020-04-05,California,Riverside,6065.0,678,17,17.0,2.0,4,4,0,73260.0,2470546
2020-04-06,California,Riverside,6065.0,863,17,185.0,0.0,4,4,0,73260.0,2470546
