date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-23,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-24,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-25,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-26,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-27,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-28,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-29,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-30,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-01-31,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-01,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-02,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-03,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-04,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-05,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-06,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-07,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-08,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-09,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-10,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-11,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-12,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-13,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-14,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
2020-02-15,Colorado,Eagle,8037.0,0,0,0.0,0.0,1,1,0,1205.109375,55127
