date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-23,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-24,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-25,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-26,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-27,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-28,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-29,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-30,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-01-31,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-01,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-02,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-03,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-04,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-05,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-06,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-07,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-08,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
2020-02-09,Connecticut,New London,9011.0,0,0,0.0,0.0,1,2,0,9854.125,265206
