date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-23,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-24,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-25,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-26,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-27,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-28,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-29,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-30,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-01-31,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-01,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-02,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-03,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-04,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-05,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-06,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-07,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-08,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-09,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-10,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-11,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-12,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
2020-02-13,Florida,Indian River,12061.0,0,0,0.0,0.0,4,4,0,883.9850746268656,159923
