date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-23,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-24,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-25,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-26,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-27,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-28,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-29,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-30,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-01-31,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-01,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-02,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-03,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-04,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-05,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-06,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-07,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-08,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-09,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-10,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-11,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-12,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-13,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-14,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-15,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-16,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-17,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-18,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-19,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-20,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-21,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-22,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-23,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-24,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-25,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-26,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-27,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-28,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-02-29,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-03-01,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-03-02,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-03-03,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
2020-03-04,Florida,Manatee,12081.0,0,0,0.0,0.0,4,4,0,64499.0,403253
