date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-23,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-24,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-25,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-26,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-27,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-28,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-29,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-30,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-01-31,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-01,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-02,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-03,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-04,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-05,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-06,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-07,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-08,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-09,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-10,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-11,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-12,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-13,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-14,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-15,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-16,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-17,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-18,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-19,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-20,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-21,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-22,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-23,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-24,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-25,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-26,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-27,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-28,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-02-29,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-01,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-02,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-03,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-04,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-05,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-06,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-07,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-08,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-09,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-10,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-11,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-12,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-13,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-14,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
2020-03-15,Georgia,Appling,13001.0,0,0,0.0,0.0,1,0,0,389.811320754717,18386
