date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-23,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-24,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-25,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-26,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-27,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-28,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-29,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-30,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-01-31,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-01,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-02,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-03,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-04,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-05,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-06,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-07,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-08,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-09,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-10,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-11,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-12,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-13,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-14,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-15,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-16,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-17,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-18,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-19,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-20,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-21,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-22,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-23,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-24,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-25,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-26,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-27,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-28,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-02-29,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-01,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-02,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-03,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-04,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-05,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-06,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-07,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-08,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-09,Georgia,Floyd,13115.0,0,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-10,Georgia,Floyd,13115.0,1,0,1.0,0.0,1,0,0,50880.0,98498
2020-03-11,Georgia,Floyd,13115.0,1,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-12,Georgia,Floyd,13115.0,2,0,1.0,0.0,1,0,0,50880.0,98498
2020-03-13,Georgia,Floyd,13115.0,3,0,1.0,0.0,1,0,0,50880.0,98498
2020-03-14,Georgia,Floyd,13115.0,3,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-15,Georgia,Floyd,13115.0,3,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-16,Georgia,Floyd,13115.0,4,0,1.0,0.0,1,0,0,50880.0,98498
2020-03-17,Georgia,Floyd,13115.0,6,0,2.0,0.0,1,0,0,50880.0,98498
2020-03-18,Georgia,Floyd,13115.0,6,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-19,Georgia,Floyd,13115.0,6,0,0.0,0.0,1,0,0,50880.0,98498
2020-03-20,Georgia,Floyd,13115.0,7,1,1.0,1.0,1,0,0,50880.0,98498
2020-03-21,Georgia,Floyd,13115.0,8,1,1.0,0.0,1,0,0,50880.0,98498
2020-03-22,Georgia,Floyd,13115.0,9,1,1.0,0.0,1,0,0,50880.0,98498
2020-03-23,Georgia,Floyd,13115.0,10,1,1.0,0.0,1,0,0,50880.0,98498
2020-03-24,Georgia,Floyd,13115.0,11,1,1.0,0.0,1,0,0,50880.0,98498
2020-03-25,Georgia,Floyd,13115.0,14,1,3.0,0.0,1,0,0,50880.0,98498
2020-03-26,Georgia,Floyd,13115.0,16,1,2.0,0.0,1,0,0,50880.0,98498
2020-03-27,Georgia,Floyd,13115.0,20,1,4.0,0.0,1,1,0,50880.0,98498
2020-03-28,Georgia,Floyd,13115.0,27,1,7.0,0.0,1,1,0,50880.0,98498
2020-03-29,Georgia,Floyd,13115.0,27,2,0.0,1.0,1,1,0,50880.0,98498
2020-03-30,Georgia,Floyd,13115.0,28,2,1.0,0.0,1,1,0,50880.0,98498
2020-03-31,Georgia,Floyd,13115.0,35,2,7.0,0.0,1,1,0,50880.0,98498
2020-04-01,Georgia,Floyd,13115.0,60,2,25.0,0.0,1,1,0,50880.0,98498
2020-04-02,Georgia,Floyd,13115.0,71,2,11.0,0.0,1,1,0,50880.0,98498
2020-04-03,Georgia,Floyd,13115.0,77,2,6.0,0.0,1,1,0,50880.0,98498
2020-04-04,Georgia,Floyd,13115.0,79,3,2.0,1.0,1,1,0,50880.0,98498
2020-04-05,Georgia,Floyd,13115.0,80,3,1.0,0.0,1,1,0,50880.0,98498
2020-04-06,Georgia,Floyd,13115.0,84,3,4.0,0.0,1,1,0,50880.0,98498
2020-04-07,Georgia,Floyd,13115.0,89,3,5.0,0.0,1,1,0,50880.0,98498
2020-04-08,Georgia,Floyd,13115.0,93,3,4.0,0.0,1,1,0,50880.0,98498
2020-04-09,Georgia,Floyd,13115.0,99,4,6.0,1.0,1,1,0,50880.0,98498
2020-04-10,Georgia,Floyd,13115.0,99,5,0.0,1.0,1,1,0,50880.0,98498
2020-04-11,Georgia,Floyd,13115.0,105,5,6.0,0.0,1,1,0,50880.0,98498
2020-04-12,Georgia,Floyd,13115.0,108,5,3.0,0.0,1,1,0,50880.0,98498
2020-04-13,Georgia,Floyd,13115.0,111,6,3.0,1.0,1,1,0,50880.0,98498
2020-04-14,Georgia,Floyd,13115.0,120,6,9.0,0.0,1,1,0,50880.0,98498
2020-04-15,Georgia,Floyd,13115.0,120,6,0.0,0.0,1,1,0,50880.0,98498
2020-04-16,Georgia,Floyd,13115.0,121,6,1.0,0.0,1,1,0,50880.0,98498
2020-04-17,Georgia,Floyd,13115.0,121,6,0.0,0.0,1,1,0,50880.0,98498
2020-04-18,Georgia,Floyd,13115.0,121,8,0.0,2.0,1,1,0,50880.0,98498
2020-04-19,Georgia,Floyd,13115.0,122,8,1.0,0.0,1,1,0,50880.0,98498
2020-04-20,Georgia,Floyd,13115.0,126,9,4.0,1.0,1,1,0,50880.0,98498
2020-04-21,Georgia,Floyd,13115.0,127,9,1.0,0.0,1,1,0,50880.0,98498
2020-04-22,Georgia,Floyd,13115.0,128,8,1.0,-1.0,1,1,0,50880.0,98498
2020-04-23,Georgia,Floyd,13115.0,128,8,0.0,0.0,1,1,0,50880.0,98498
2020-04-24,Georgia,Floyd,13115.0,131,10,3.0,2.0,1,1,0,50880.0,98498
2020-04-25,Georgia,Floyd,13115.0,133,10,2.0,0.0,1,1,0,50880.0,98498
2020-04-26,Georgia,Floyd,13115.0,133,10,0.0,0.0,1,1,0,50880.0,98498
2020-04-27,Georgia,Floyd,13115.0,134,11,1.0,1.0,1,1,0,50880.0,98498
2020-04-28,Georgia,Floyd,13115.0,134,11,0.0,0.0,1,1,0,50880.0,98498
2020-04-29,Georgia,Floyd,13115.0,139,11,5.0,0.0,1,1,0,50880.0,98498
2020-04-30,Georgia,Floyd,13115.0,144,11,5.0,0.0,1,1,0,50880.0,98498
2020-05-01,Georgia,Floyd,13115.0,145,11,1.0,0.0,1,1,0,50880.0,98498
