date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-23,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-24,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-25,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-26,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-27,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-28,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-29,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-30,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-01-31,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-01,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-02,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-03,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-04,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-05,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-06,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-07,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-08,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-09,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-10,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-11,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-12,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-13,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-14,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-15,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-16,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-17,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-18,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-19,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-20,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-21,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-22,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
2020-02-23,Idaho,Clearwater,16035.0,0,0,0.0,0.0,1,1,0,1386.340909090909,8756
