date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-23,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-24,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-25,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-26,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-27,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-28,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-29,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-30,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-01-31,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-01,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-02,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-03,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-04,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-05,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-06,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-07,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-08,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-09,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-10,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-11,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-12,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-13,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-14,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-15,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-16,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-17,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-18,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-19,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-20,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
2020-02-21,Illinois,McDonough,17109.0,0,0,0.0,0.0,4,4,0,678.3039215686274,29682
