date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-23,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-24,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-25,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-26,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-27,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-28,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-29,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-30,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-01-31,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-01,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-02,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-03,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-04,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-05,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-06,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-07,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-08,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-09,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-10,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-11,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-12,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
2020-02-13,Indiana,Starke,18149.0,0,0,0.0,0.0,1,1,0,626.1195652173913,22995
