date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-23,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-24,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-25,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-26,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-27,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-28,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-29,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-30,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-01-31,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-01,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-02,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-03,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-04,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-05,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-06,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-07,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-08,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-09,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-10,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
2020-02-11,Kansas,Edwards,20047.0,0,0,0.0,0.0,1,1,0,591.3047619047619,6395
