date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-23,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-24,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-25,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-26,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-27,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-28,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-29,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-30,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-01-31,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-01,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-02,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-03,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-04,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-05,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-06,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-07,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-08,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-09,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-10,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-11,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-12,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-13,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-14,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-15,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-16,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-17,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-18,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-19,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-20,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-21,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-22,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-23,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-24,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-25,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-26,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-27,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-28,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-02-29,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-01,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-02,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-03,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-04,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-05,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-06,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-07,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-08,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-09,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-10,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-11,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-12,Kansas,Wyandotte,20209.0,0,0,0.0,0.0,1,1,0,46964.0,165429
2020-03-13,Kansas,Wyandotte,20209.0,1,1,1.0,1.0,1,1,0,46964.0,165429
2020-03-14,Kansas,Wyandotte,20209.0,1,1,0.0,0.0,1,1,0,46964.0,165429
2020-03-15,Kansas,Wyandotte,20209.0,1,1,0.0,0.0,1,1,0,46964.0,165429
2020-03-16,Kansas,Wyandotte,20209.0,1,1,0.0,0.0,1,1,0,46964.0,165429
2020-03-17,Kansas,Wyandotte,20209.0,4,1,3.0,0.0,1,1,0,46964.0,165429
2020-03-18,Kansas,Wyandotte,20209.0,4,1,0.0,0.0,1,1,0,46964.0,165429
2020-03-19,Kansas,Wyandotte,20209.0,8,1,4.0,0.0,1,1,0,46964.0,165429
2020-03-20,Kansas,Wyandotte,20209.0,9,1,1.0,0.0,1,1,0,46964.0,165429
2020-03-21,Kansas,Wyandotte,20209.0,13,1,4.0,0.0,1,1,0,46964.0,165429
2020-03-22,Kansas,Wyandotte,20209.0,14,1,1.0,0.0,1,1,0,46964.0,165429
2020-03-23,Kansas,Wyandotte,20209.0,16,1,2.0,0.0,1,1,0,46964.0,165429
2020-03-24,Kansas,Wyandotte,20209.0,22,1,6.0,0.0,1,1,0,46964.0,165429
2020-03-25,Kansas,Wyandotte,20209.0,27,2,5.0,1.0,1,1,0,46964.0,165429
2020-03-26,Kansas,Wyandotte,20209.0,34,2,7.0,0.0,1,1,0,46964.0,165429
2020-03-27,Kansas,Wyandotte,20209.0,43,3,9.0,1.0,1,1,0,46964.0,165429
2020-03-28,Kansas,Wyandotte,20209.0,53,3,10.0,0.0,1,1,0,46964.0,165429
2020-03-29,Kansas,Wyandotte,20209.0,55,4,2.0,1.0,1,1,0,46964.0,165429
2020-03-30,Kansas,Wyandotte,20209.0,67,4,12.0,0.0,1,1,0,46964.0,165429
2020-03-31,Kansas,Wyandotte,20209.0,79,4,12.0,0.0,1,1,0,46964.0,165429
2020-04-01,Kansas,Wyandotte,20209.0,93,4,14.0,0.0,1,1,0,46964.0,165429
2020-04-02,Kansas,Wyandotte,20209.0,106,4,13.0,0.0,1,1,0,46964.0,165429
2020-04-03,Kansas,Wyandotte,20209.0,137,6,31.0,2.0,1,1,0,46964.0,165429
2020-04-04,Kansas,Wyandotte,20209.0,149,6,12.0,0.0,1,1,0,46964.0,165429
2020-04-05,Kansas,Wyandotte,20209.0,158,6,9.0,0.0,1,1,0,46964.0,165429
2020-04-06,Kansas,Wyandotte,20209.0,186,6,28.0,0.0,1,1,0,46964.0,165429
2020-04-07,Kansas,Wyandotte,20209.0,195,10,9.0,4.0,1,1,0,46964.0,165429
2020-04-08,Kansas,Wyandotte,20209.0,245,12,50.0,2.0,1,1,0,46964.0,165429
2020-04-09,Kansas,Wyandotte,20209.0,272,13,27.0,1.0,1,1,0,46964.0,165429
2020-04-10,Kansas,Wyandotte,20209.0,272,13,0.0,0.0,1,1,0,46964.0,165429
2020-04-11,Kansas,Wyandotte,20209.0,315,20,43.0,7.0,1,1,0,46964.0,165429
2020-04-12,Kansas,Wyandotte,20209.0,332,24,17.0,4.0,1,1,0,46964.0,165429
2020-04-13,Kansas,Wyandotte,20209.0,337,28,5.0,4.0,1,1,0,46964.0,165429
2020-04-14,Kansas,Wyandotte,20209.0,345,30,8.0,2.0,1,1,0,46964.0,165429
2020-04-15,Kansas,Wyandotte,20209.0,363,31,18.0,1.0,1,1,0,46964.0,165429
2020-04-16,Kansas,Wyandotte,20209.0,379,34,16.0,3.0,1,1,0,46964.0,165429
2020-04-17,Kansas,Wyandotte,20209.0,400,35,21.0,1.0,1,1,0,46964.0,165429
2020-04-18,Kansas,Wyandotte,20209.0,412,35,12.0,0.0,1,1,0,46964.0,165429
2020-04-19,Kansas,Wyandotte,20209.0,417,37,5.0,2.0,1,1,0,46964.0,165429
2020-04-20,Kansas,Wyandotte,20209.0,427,44,10.0,7.0,1,1,0,46964.0,165429
2020-04-21,Kansas,Wyandotte,20209.0,433,45,6.0,1.0,1,1,0,46964.0,165429
2020-04-22,Kansas,Wyandotte,20209.0,473,47,40.0,2.0,1,1,0,46964.0,165429
2020-04-23,Kansas,Wyandotte,20209.0,490,47,17.0,0.0,1,1,0,46964.0,165429
2020-04-24,Kansas,Wyandotte,20209.0,527,49,37.0,2.0,1,1,0,46964.0,165429
2020-04-25,Kansas,Wyandotte,20209.0,555,50,28.0,1.0,1,1,0,46964.0,165429
2020-04-26,Kansas,Wyandotte,20209.0,565,51,10.0,1.0,1,1,0,46964.0,165429
2020-04-27,Kansas,Wyandotte,20209.0,573,53,8.0,2.0,1,1,0,46964.0,165429
2020-04-28,Kansas,Wyandotte,20209.0,585,53,12.0,0.0,1,1,0,46964.0,165429
2020-04-29,Kansas,Wyandotte,20209.0,619,55,34.0,2.0,1,1,0,46964.0,165429
2020-04-30,Kansas,Wyandotte,20209.0,677,55,58.0,0.0,1,1,0,46964.0,165429
2020-05-01,Kansas,Wyandotte,20209.0,710,55,33.0,0.0,1,1,0,46964.0,165429
2020-05-02,Kansas,Wyandotte,20209.0,762,55,52.0,0.0,1,1,0,46964.0,165429
2020-05-03,Kansas,Wyandotte,20209.0,826,55,64.0,0.0,1,1,0,46964.0,165429
2020-05-04,Kansas,Wyandotte,20209.0,879,61,53.0,6.0,1,1,0,46964.0,165429
2020-05-05,Kansas,Wyandotte,20209.0,896,64,17.0,3.0,1,1,0,46964.0,165429
2020-05-06,Kansas,Wyandotte,20209.0,910,64,14.0,0.0,1,1,0,46964.0,165429
2020-05-07,Kansas,Wyandotte,20209.0,942,64,32.0,0.0,1,1,0,46964.0,165429
2020-05-08,Kansas,Wyandotte,20209.0,1000,64,58.0,0.0,1,1,0,46964.0,165429
2020-05-09,Kansas,Wyandotte,20209.0,1045,64,45.0,0.0,1,1,0,46964.0,165429
2020-05-10,Kansas,Wyandotte,20209.0,1078,64,33.0,0.0,1,1,0,46964.0,165429
2020-05-11,Kansas,Wyandotte,20209.0,1086,65,8.0,1.0,1,1,0,46964.0,165429
2020-05-12,Kansas,Wyandotte,20209.0,1086,65,0.0,0.0,1,1,0,46964.0,165429
2020-05-13,Kansas,Wyandotte,20209.0,1098,66,12.0,1.0,1,1,0,46964.0,165429
2020-05-14,Kansas,Wyandotte,20209.0,1114,67,16.0,1.0,1,1,0,46964.0,165429
2020-05-15,Kansas,Wyandotte,20209.0,1129,69,15.0,2.0,1,1,0,46964.0,165429
2020-05-16,Kansas,Wyandotte,20209.0,1153,70,24.0,1.0,1,1,0,46964.0,165429
2020-05-17,Kansas,Wyandotte,20209.0,1154,70,1.0,0.0,1,1,0,46964.0,165429
