date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-23,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-24,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-25,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-26,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-27,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-28,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-29,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-30,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-01-31,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-01,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-02,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-03,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-04,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-05,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-06,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-07,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-08,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-09,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-10,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-11,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-12,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-13,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-14,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-15,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-16,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-17,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-18,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-19,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-20,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-21,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-22,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-23,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-24,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-25,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-26,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-27,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-28,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-02-29,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-01,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-02,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-03,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-04,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-05,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-06,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-07,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-08,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-09,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-10,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-11,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-12,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-13,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-14,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-15,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-16,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-17,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-18,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-19,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-20,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-21,Maryland,Washington,24043.0,0,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-22,Maryland,Washington,24043.0,1,0,1.0,0.0,0,0,0,59140.0,16326
2020-03-23,Maryland,Washington,24043.0,2,0,1.0,0.0,0,0,0,59140.0,16326
2020-03-24,Maryland,Washington,24043.0,2,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-25,Maryland,Washington,24043.0,4,0,2.0,0.0,0,0,0,59140.0,16326
2020-03-26,Maryland,Washington,24043.0,4,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-27,Maryland,Washington,24043.0,5,0,1.0,0.0,0,0,0,59140.0,16326
2020-03-28,Maryland,Washington,24043.0,6,0,1.0,0.0,0,0,0,59140.0,16326
2020-03-29,Maryland,Washington,24043.0,6,0,0.0,0.0,0,0,0,59140.0,16326
2020-03-30,Maryland,Washington,24043.0,7,0,1.0,0.0,0,0,0,59140.0,16326
2020-03-31,Maryland,Washington,24043.0,11,0,4.0,0.0,0,0,0,59140.0,16326
2020-04-01,Maryland,Washington,24043.0,15,0,4.0,0.0,0,0,0,59140.0,16326
2020-04-02,Maryland,Washington,24043.0,17,0,2.0,0.0,0,0,0,59140.0,16326
2020-04-03,Maryland,Washington,24043.0,27,0,10.0,0.0,0,0,0,59140.0,16326
2020-04-04,Maryland,Washington,24043.0,29,0,2.0,0.0,0,0,0,59140.0,16326
2020-04-05,Maryland,Washington,24043.0,34,0,5.0,0.0,0,0,0,59140.0,16326
2020-04-06,Maryland,Washington,24043.0,37,0,3.0,0.0,0,0,0,59140.0,16326
2020-04-07,Maryland,Washington,24043.0,44,0,7.0,0.0,0,0,0,59140.0,16326
2020-04-08,Maryland,Washington,24043.0,57,0,13.0,0.0,0,0,0,59140.0,16326
2020-04-09,Maryland,Washington,24043.0,60,0,3.0,0.0,0,0,0,59140.0,16326
2020-04-10,Maryland,Washington,24043.0,66,0,6.0,0.0,0,0,0,59140.0,16326
2020-04-11,Maryland,Washington,24043.0,72,1,6.0,1.0,0,0,0,59140.0,16326
2020-04-12,Maryland,Washington,24043.0,75,1,3.0,0.0,0,0,0,59140.0,16326
2020-04-13,Maryland,Washington,24043.0,93,1,18.0,0.0,1,1,0,59140.0,16326
2020-04-14,Maryland,Washington,24043.0,96,1,3.0,0.0,1,1,0,59140.0,16326
2020-04-15,Maryland,Washington,24043.0,106,1,10.0,0.0,1,1,0,59140.0,16326
2020-04-16,Maryland,Washington,24043.0,109,1,3.0,0.0,1,1,0,59140.0,16326
2020-04-17,Maryland,Washington,24043.0,116,1,7.0,0.0,1,1,0,59140.0,16326
2020-04-18,Maryland,Washington,24043.0,116,3,0.0,2.0,1,1,0,59140.0,16326
2020-04-19,Maryland,Washington,24043.0,117,3,1.0,0.0,1,1,0,59140.0,16326
2020-04-20,Maryland,Washington,24043.0,123,3,6.0,0.0,1,1,0,59140.0,16326
2020-04-21,Maryland,Washington,24043.0,126,3,3.0,0.0,1,1,0,59140.0,16326
2020-04-22,Maryland,Washington,24043.0,127,3,1.0,0.0,1,1,0,59140.0,16326
2020-04-23,Maryland,Washington,24043.0,139,3,12.0,0.0,1,1,0,59140.0,16326
2020-04-24,Maryland,Washington,24043.0,143,3,4.0,0.0,1,1,0,59140.0,16326
2020-04-25,Maryland,Washington,24043.0,154,3,11.0,0.0,1,1,0,59140.0,16326
2020-04-26,Maryland,Washington,24043.0,173,3,19.0,0.0,1,1,0,59140.0,16326
2020-04-27,Maryland,Washington,24043.0,181,3,8.0,0.0,1,1,0,59140.0,16326
2020-04-28,Maryland,Washington,24043.0,187,3,6.0,0.0,1,1,0,59140.0,16326
