date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-23,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-24,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-25,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-26,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-27,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-28,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-29,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-30,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-01-31,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-01,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-02,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-03,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-04,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-05,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-06,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-07,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-08,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-09,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-10,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-11,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-12,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-13,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-14,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-15,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-16,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-17,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-18,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-19,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-20,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-21,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-22,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-23,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-24,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-25,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-26,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-27,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-28,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-02-29,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-01,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-02,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-03,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-04,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-05,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-06,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-07,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-08,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-09,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-10,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-11,Massachusetts,Bristol,25005.0,0,0,0.0,0.0,-16,-15,0,70402.0,565217
2020-03-12,Massachusetts,Bristol,25005.0,1,0,1.0,0.0,-16,-15,0,70402.0,565217
2020-03-13,Massachusetts,Bristol,25005.0,2,0,1.0,0.0,-16,-15,0,70402.0,565217
2020-03-14,Massachusetts,Bristol,25005.0,4,0,2.0,0.0,-16,-15,0,70402.0,565217
2020-03-15,Massachusetts,Bristol,25005.0,6,0,2.0,0.0,-16,-15,0,70402.0,565217
2020-03-16,Massachusetts,Bristol,25005.0,8,0,2.0,0.0,-16,-15,0,70402.0,565217
2020-03-17,Massachusetts,Bristol,25005.0,15,0,7.0,0.0,-16,-15,0,70402.0,565217
2020-03-18,Massachusetts,Bristol,25005.0,25,0,10.0,0.0,-16,-15,0,70402.0,565217
2020-03-19,Massachusetts,Bristol,25005.0,37,0,12.0,0.0,-16,-15,0,70402.0,565217
2020-03-20,Massachusetts,Bristol,25005.0,61,0,24.0,0.0,-16,-15,0,70402.0,565217
2020-03-21,Massachusetts,Bristol,25005.0,75,0,14.0,0.0,-16,-15,0,70402.0,565217
2020-03-22,Massachusetts,Bristol,25005.0,89,0,14.0,0.0,-16,-15,0,70402.0,565217
2020-03-23,Massachusetts,Bristol,25005.0,117,0,28.0,0.0,-16,-15,0,70402.0,565217
2020-03-24,Massachusetts,Bristol,25005.0,159,0,42.0,0.0,-16,-15,0,70402.0,565217
2020-03-25,Massachusetts,Bristol,25005.0,190,0,31.0,0.0,-16,-15,0,70402.0,565217
2020-03-26,Massachusetts,Bristol,25005.0,252,0,62.0,0.0,-16,-15,0,70402.0,565217
2020-03-27,Massachusetts,Bristol,25005.0,305,1,53.0,1.0,-16,-15,0,70402.0,565217
2020-03-28,Massachusetts,Bristol,25005.0,333,1,28.0,0.0,-15,-15,0,70402.0,565217
2020-03-29,Massachusetts,Bristol,25005.0,366,1,33.0,0.0,-15,-15,0,70402.0,565217
2020-03-30,Massachusetts,Bristol,25005.0,439,2,73.0,1.0,-15,-15,0,70402.0,565217
2020-03-31,Massachusetts,Bristol,25005.0,517,2,78.0,0.0,-15,-14,0,70402.0,565217
