date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-23,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-24,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-25,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-26,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-27,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-28,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-29,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-30,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-01-31,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-01,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-02,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-03,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-04,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-05,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-06,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-07,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-08,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-09,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-10,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-11,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-12,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-13,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-14,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-15,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-16,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-17,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-18,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-19,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-20,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-21,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-22,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-23,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-24,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-25,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-26,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-27,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-28,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-02-29,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-01,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-02,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-03,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-04,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-05,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-06,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-07,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-08,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-09,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-10,Massachusetts,Hampden,25013.0,0,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-11,Massachusetts,Hampden,25013.0,1,0,1.0,0.0,-16,-15,0,60161.0,466372
2020-03-12,Massachusetts,Hampden,25013.0,1,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-13,Massachusetts,Hampden,25013.0,1,0,0.0,0.0,-16,-15,0,60161.0,466372
2020-03-14,Massachusetts,Hampden,25013.0,2,0,1.0,0.0,-16,-15,0,60161.0,466372
2020-03-15,Massachusetts,Hampden,25013.0,5,0,3.0,0.0,-16,-15,0,60161.0,466372
2020-03-16,Massachusetts,Hampden,25013.0,12,0,7.0,0.0,-16,-15,0,60161.0,466372
2020-03-17,Massachusetts,Hampden,25013.0,28,0,16.0,0.0,-16,-15,0,60161.0,466372
2020-03-18,Massachusetts,Hampden,25013.0,38,0,10.0,0.0,-16,-15,0,60161.0,466372
2020-03-19,Massachusetts,Hampden,25013.0,52,0,14.0,0.0,-16,-15,0,60161.0,466372
2020-03-20,Massachusetts,Hampden,25013.0,78,0,26.0,0.0,-16,-15,0,60161.0,466372
2020-03-21,Massachusetts,Hampden,25013.0,99,0,21.0,0.0,-16,-15,0,60161.0,466372
2020-03-22,Massachusetts,Hampden,25013.0,120,0,21.0,0.0,-16,-15,0,60161.0,466372
2020-03-23,Massachusetts,Hampden,25013.0,160,0,40.0,0.0,-16,-15,0,60161.0,466372
2020-03-24,Massachusetts,Hampden,25013.0,216,0,56.0,0.0,-16,-15,0,60161.0,466372
2020-03-25,Massachusetts,Hampden,25013.0,277,0,61.0,0.0,-16,-15,0,60161.0,466372
2020-03-26,Massachusetts,Hampden,25013.0,355,1,78.0,1.0,-16,-15,0,60161.0,466372
2020-03-27,Massachusetts,Hampden,25013.0,447,1,92.0,0.0,-16,-15,0,60161.0,466372
2020-03-28,Massachusetts,Hampden,25013.0,498,4,51.0,3.0,-15,-15,0,60161.0,466372
2020-03-29,Massachusetts,Hampden,25013.0,568,4,70.0,0.0,-15,-15,0,60161.0,466372
2020-03-30,Massachusetts,Hampden,25013.0,682,4,114.0,0.0,-15,-15,0,60161.0,466372
2020-03-31,Massachusetts,Hampden,25013.0,803,11,121.0,7.0,-15,-14,0,60161.0,466372
2020-04-01,Massachusetts,Hampden,25013.0,917,16,114.0,5.0,-15,-14,0,60161.0,466372
2020-04-02,Massachusetts,Hampden,25013.0,1006,19,89.0,3.0,-14,-14,0,60161.0,466372
2020-04-03,Massachusetts,Hampden,25013.0,1110,27,104.0,8.0,-14,-14,0,60161.0,466372
2020-04-04,Massachusetts,Hampden,25013.0,1211,34,101.0,7.0,-14,-13,0,60161.0,466372
2020-04-05,Massachusetts,Hampden,25013.0,1270,34,59.0,0.0,-13,-13,0,60161.0,466372
2020-04-06,Massachusetts,Hampden,25013.0,1370,38,100.0,4.0,-13,-13,0,60161.0,466372
2020-04-07,Massachusetts,Hampden,25013.0,1496,55,126.0,17.0,-13,-12,0,60161.0,466372
2020-04-08,Massachusetts,Hampden,25013.0,1602,62,106.0,7.0,-12,-12,0,60161.0,466372
2020-04-09,Massachusetts,Hampden,25013.0,1726,62,124.0,0.0,-12,-12,0,60161.0,466372
2020-04-10,Massachusetts,Hampden,25013.0,1838,62,112.0,0.0,-12,-12,0,60161.0,466372
2020-04-11,Massachusetts,Hampden,25013.0,1905,92,67.0,30.0,-12,-11,0,60161.0,466372
2020-04-12,Massachusetts,Hampden,25013.0,1959,102,54.0,10.0,-12,-11,0,60161.0,466372
2020-04-13,Massachusetts,Hampden,25013.0,2051,102,92.0,0.0,-10,-10,0,60161.0,466372
2020-04-14,Massachusetts,Hampden,25013.0,2241,102,190.0,0.0,-10,-10,0,60161.0,466372
2020-04-15,Massachusetts,Hampden,25013.0,2418,151,177.0,49.0,-10,-10,0,60161.0,466372
2020-04-16,Massachusetts,Hampden,25013.0,2533,151,115.0,0.0,-10,-9,0,60161.0,466372
2020-04-17,Massachusetts,Hampden,25013.0,2648,161,115.0,10.0,-10,-9,0,60161.0,466372
2020-04-18,Massachusetts,Hampden,25013.0,2733,181,85.0,20.0,-10,-9,0,60161.0,466372
2020-04-19,Massachusetts,Hampden,25013.0,2786,211,53.0,30.0,-10,-9,0,60161.0,466372
2020-04-20,Massachusetts,Hampden,25013.0,2925,211,139.0,0.0,-10,-9,0,60161.0,466372
2020-04-21,Massachusetts,Hampden,25013.0,3026,244,101.0,33.0,-9,-9,0,60161.0,466372
