date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-23,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-24,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-25,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-26,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-27,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-28,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-29,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-30,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-01-31,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-01,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-02,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-03,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-04,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-05,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-06,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-07,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-08,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-09,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-10,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-11,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-12,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-13,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-14,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-15,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
2020-02-16,Minnesota,Mille Lacs,27095.0,0,0,0.0,0.0,1,1,0,857.3908045977012,26277
