date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-23,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-24,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-25,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-26,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-27,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-28,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-29,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-30,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-01-31,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-01,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-02,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-03,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-04,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-05,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-06,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-07,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-08,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-09,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-10,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-11,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-12,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-13,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-14,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-15,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-16,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-17,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-18,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-19,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-20,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-21,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-22,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-23,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-24,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-25,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-26,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-27,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-28,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-02-29,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
2020-03-01,Minnesota,Yellow Medicine,27173.0,0,0,0.0,0.0,1,1,0,857.3908045977012,9709
