date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-23,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-24,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-25,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-26,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-27,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-28,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-29,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-30,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-01-31,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-01,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-02,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-03,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-04,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-05,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-06,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-07,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-08,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-09,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-10,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-11,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-12,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-13,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-14,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-15,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-16,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-17,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-18,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-19,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-20,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-21,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-22,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-23,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-24,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-25,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-26,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-27,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-28,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-02-29,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-01,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-02,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-03,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-04,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-05,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-06,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-07,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-08,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-09,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-10,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-11,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-12,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-13,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-14,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-15,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-16,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-17,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-18,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-19,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-20,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-21,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-22,Missouri,Lafayette,29107.0,0,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-23,Missouri,Lafayette,29107.0,1,0,1.0,0.0,0,0,0,503.5877192982456,6624
2020-03-24,Missouri,Lafayette,29107.0,1,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-25,Missouri,Lafayette,29107.0,2,0,1.0,0.0,0,0,0,503.5877192982456,6624
2020-03-26,Missouri,Lafayette,29107.0,2,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-27,Missouri,Lafayette,29107.0,4,0,2.0,0.0,0,0,0,503.5877192982456,6624
2020-03-28,Missouri,Lafayette,29107.0,4,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-29,Missouri,Lafayette,29107.0,4,0,0.0,0.0,0,0,0,503.5877192982456,6624
2020-03-30,Missouri,Lafayette,29107.0,17,0,13.0,0.0,0,0,0,503.5877192982456,6624
2020-03-31,Missouri,Lafayette,29107.0,19,1,2.0,1.0,0,0,0,503.5877192982456,6624
2020-04-01,Missouri,Lafayette,29107.0,20,1,1.0,0.0,0,0,0,503.5877192982456,6624
2020-04-02,Missouri,Lafayette,29107.0,20,1,0.0,0.0,0,0,0,503.5877192982456,6624
2020-04-03,Missouri,Lafayette,29107.0,20,1,0.0,0.0,0,0,0,503.5877192982456,6624
2020-04-04,Missouri,Lafayette,29107.0,26,1,6.0,0.0,0,0,0,503.5877192982456,6624
2020-04-05,Missouri,Lafayette,29107.0,26,1,0.0,0.0,0,0,0,503.5877192982456,6624
2020-04-06,Missouri,Lafayette,29107.0,28,1,2.0,0.0,0,0,0,503.5877192982456,6624
2020-04-07,Missouri,Lafayette,29107.0,28,1,0.0,0.0,0,0,0,503.5877192982456,6624
2020-04-08,Missouri,Lafayette,29107.0,28,1,0.0,0.0,0,0,0,503.5877192982456,6624
2020-04-09,Missouri,Lafayette,29107.0,27,1,-1.0,0.0,0,0,0,503.5877192982456,6624
2020-04-10,Missouri,Lafayette,29107.0,28,1,1.0,0.0,0,0,0,503.5877192982456,6624
2020-04-11,Missouri,Lafayette,29107.0,28,1,0.0,0.0,0,0,0,503.5877192982456,6624
2020-04-12,Missouri,Lafayette,29107.0,28,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-13,Missouri,Lafayette,29107.0,28,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-14,Missouri,Lafayette,29107.0,28,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-15,Missouri,Lafayette,29107.0,28,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-16,Missouri,Lafayette,29107.0,29,1,1.0,0.0,1,1,0,503.5877192982456,6624
2020-04-17,Missouri,Lafayette,29107.0,29,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-18,Missouri,Lafayette,29107.0,29,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-19,Missouri,Lafayette,29107.0,30,1,1.0,0.0,1,1,0,503.5877192982456,6624
2020-04-20,Missouri,Lafayette,29107.0,30,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-21,Missouri,Lafayette,29107.0,30,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-22,Missouri,Lafayette,29107.0,30,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-23,Missouri,Lafayette,29107.0,33,1,3.0,0.0,1,1,0,503.5877192982456,6624
2020-04-24,Missouri,Lafayette,29107.0,33,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-25,Missouri,Lafayette,29107.0,33,1,0.0,0.0,1,1,0,503.5877192982456,6624
2020-04-26,Missouri,Lafayette,29107.0,35,1,2.0,0.0,1,1,0,503.5877192982456,6624
2020-04-27,Missouri,Lafayette,29107.0,35,1,0.0,0.0,1,1,0,503.5877192982456,6624
