date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-23,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-24,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-25,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-26,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-27,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-28,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-29,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-30,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-01-31,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-01,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-02,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-03,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-04,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-05,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-06,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-07,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-08,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-09,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-10,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-11,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-12,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-13,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-14,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-15,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-16,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-17,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-18,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-19,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
2020-02-20,Montana,Prairie,30079.0,0,0,0.0,0.0,1,1,0,1020.5892857142857,8062
