date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-23,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-24,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-25,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-26,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-27,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-28,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-29,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-30,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-01-31,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-01,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-02,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-03,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-04,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-05,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-06,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-07,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-08,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-09,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-10,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-11,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-12,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-13,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-14,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-15,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-16,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-17,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-18,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-19,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-20,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-21,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-22,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-23,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
2020-02-24,Nebraska,Brown,31017.0,0,0,0.0,0.0,0,0,0,679.8817204301075,6578
