date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-23,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-24,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-25,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-26,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-27,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-28,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-29,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-30,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-01-31,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-01,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-02,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-03,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-04,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-05,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-06,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-07,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-08,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-09,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-10,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-11,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-12,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-13,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-14,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-15,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-16,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-17,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-18,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-19,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-20,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-21,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-22,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-23,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-24,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-25,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-26,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-27,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-28,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-02-29,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-01,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-02,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-03,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-04,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-05,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-06,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-07,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-08,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-09,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-10,New Mexico,Socorro,35053.0,0,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-11,New Mexico,Socorro,35053.0,2,0,2.0,0.0,1,1,0,1574.090909090909,16637
2020-03-12,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-13,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-14,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-15,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-16,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-17,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-18,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-19,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-20,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-21,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-22,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-23,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-24,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-25,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-26,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-27,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-28,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-29,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-30,New Mexico,Socorro,35053.0,2,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-03-31,New Mexico,Socorro,35053.0,3,0,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-01,New Mexico,Socorro,35053.0,3,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-02,New Mexico,Socorro,35053.0,4,0,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-03,New Mexico,Socorro,35053.0,4,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-04,New Mexico,Socorro,35053.0,4,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-05,New Mexico,Socorro,35053.0,5,0,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-06,New Mexico,Socorro,35053.0,5,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-07,New Mexico,Socorro,35053.0,5,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-08,New Mexico,Socorro,35053.0,7,0,2.0,0.0,1,1,0,1574.090909090909,16637
2020-04-09,New Mexico,Socorro,35053.0,7,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-10,New Mexico,Socorro,35053.0,9,0,2.0,0.0,1,1,0,1574.090909090909,16637
2020-04-11,New Mexico,Socorro,35053.0,10,0,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-12,New Mexico,Socorro,35053.0,12,0,2.0,0.0,1,1,0,1574.090909090909,16637
2020-04-13,New Mexico,Socorro,35053.0,12,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-14,New Mexico,Socorro,35053.0,14,0,2.0,0.0,1,1,0,1574.090909090909,16637
2020-04-15,New Mexico,Socorro,35053.0,16,0,2.0,0.0,1,1,0,1574.090909090909,16637
2020-04-16,New Mexico,Socorro,35053.0,16,0,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-17,New Mexico,Socorro,35053.0,20,0,4.0,0.0,1,1,0,1574.090909090909,16637
2020-04-18,New Mexico,Socorro,35053.0,20,1,0.0,1.0,1,1,0,1574.090909090909,16637
2020-04-19,New Mexico,Socorro,35053.0,20,1,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-20,New Mexico,Socorro,35053.0,31,1,11.0,0.0,1,1,0,1574.090909090909,16637
2020-04-21,New Mexico,Socorro,35053.0,31,1,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-22,New Mexico,Socorro,35053.0,34,1,3.0,0.0,1,1,0,1574.090909090909,16637
2020-04-23,New Mexico,Socorro,35053.0,38,1,4.0,0.0,1,1,0,1574.090909090909,16637
2020-04-24,New Mexico,Socorro,35053.0,39,1,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-25,New Mexico,Socorro,35053.0,40,1,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-26,New Mexico,Socorro,35053.0,40,1,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-27,New Mexico,Socorro,35053.0,40,1,0.0,0.0,1,1,0,1574.090909090909,16637
2020-04-28,New Mexico,Socorro,35053.0,41,1,1.0,0.0,1,1,0,1574.090909090909,16637
2020-04-29,New Mexico,Socorro,35053.0,42,2,1.0,1.0,1,1,0,1574.090909090909,16637
2020-04-30,New Mexico,Socorro,35053.0,42,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-01,New Mexico,Socorro,35053.0,43,2,1.0,0.0,1,1,0,1574.090909090909,16637
2020-05-02,New Mexico,Socorro,35053.0,43,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-03,New Mexico,Socorro,35053.0,45,2,2.0,0.0,1,1,0,1574.090909090909,16637
2020-05-04,New Mexico,Socorro,35053.0,46,2,1.0,0.0,1,1,0,1574.090909090909,16637
2020-05-05,New Mexico,Socorro,35053.0,48,2,2.0,0.0,1,1,0,1574.090909090909,16637
2020-05-06,New Mexico,Socorro,35053.0,48,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-07,New Mexico,Socorro,35053.0,48,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-08,New Mexico,Socorro,35053.0,48,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-09,New Mexico,Socorro,35053.0,48,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-10,New Mexico,Socorro,35053.0,48,2,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-11,New Mexico,Socorro,35053.0,49,3,1.0,1.0,1,1,0,1574.090909090909,16637
2020-05-12,New Mexico,Socorro,35053.0,49,3,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-13,New Mexico,Socorro,35053.0,49,3,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-14,New Mexico,Socorro,35053.0,49,4,0.0,1.0,1,1,0,1574.090909090909,16637
2020-05-15,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-16,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-17,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-18,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-19,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-20,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-21,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-22,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-23,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-24,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-25,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-26,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-27,New Mexico,Socorro,35053.0,49,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-28,New Mexico,Socorro,35053.0,50,4,1.0,0.0,1,1,0,1574.090909090909,16637
2020-05-29,New Mexico,Socorro,35053.0,50,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-30,New Mexico,Socorro,35053.0,50,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-05-31,New Mexico,Socorro,35053.0,50,4,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-01,New Mexico,Socorro,35053.0,51,5,1.0,1.0,1,1,0,1574.090909090909,16637
2020-06-02,New Mexico,Socorro,35053.0,52,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-06-03,New Mexico,Socorro,35053.0,52,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-04,New Mexico,Socorro,35053.0,54,5,2.0,0.0,1,1,0,1574.090909090909,16637
2020-06-05,New Mexico,Socorro,35053.0,54,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-06,New Mexico,Socorro,35053.0,55,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-06-07,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-08,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-09,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-10,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-11,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-12,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-13,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-14,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-15,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-16,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-17,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-18,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-19,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-20,New Mexico,Socorro,35053.0,55,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-21,New Mexico,Socorro,35053.0,56,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-06-22,New Mexico,Socorro,35053.0,58,5,2.0,0.0,1,1,0,1574.090909090909,16637
2020-06-23,New Mexico,Socorro,35053.0,58,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-24,New Mexico,Socorro,35053.0,58,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-25,New Mexico,Socorro,35053.0,59,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-06-26,New Mexico,Socorro,35053.0,59,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-27,New Mexico,Socorro,35053.0,59,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-28,New Mexico,Socorro,35053.0,59,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-06-29,New Mexico,Socorro,35053.0,60,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-06-30,New Mexico,Socorro,35053.0,60,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-01,New Mexico,Socorro,35053.0,60,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-02,New Mexico,Socorro,35053.0,60,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-03,New Mexico,Socorro,35053.0,60,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-04,New Mexico,Socorro,35053.0,60,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-05,New Mexico,Socorro,35053.0,60,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-06,New Mexico,Socorro,35053.0,61,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-07,New Mexico,Socorro,35053.0,61,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-08,New Mexico,Socorro,35053.0,61,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-09,New Mexico,Socorro,35053.0,61,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-10,New Mexico,Socorro,35053.0,62,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-11,New Mexico,Socorro,35053.0,63,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-12,New Mexico,Socorro,35053.0,64,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-13,New Mexico,Socorro,35053.0,66,5,2.0,0.0,1,1,0,1574.090909090909,16637
2020-07-14,New Mexico,Socorro,35053.0,65,5,-1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-15,New Mexico,Socorro,35053.0,65,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-16,New Mexico,Socorro,35053.0,64,5,-1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-17,New Mexico,Socorro,35053.0,63,5,-1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-18,New Mexico,Socorro,35053.0,64,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-19,New Mexico,Socorro,35053.0,65,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-20,New Mexico,Socorro,35053.0,67,5,2.0,0.0,1,1,0,1574.090909090909,16637
2020-07-21,New Mexico,Socorro,35053.0,67,5,0.0,0.0,0,0,0,1574.090909090909,16637
2020-07-22,New Mexico,Socorro,35053.0,67,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-23,New Mexico,Socorro,35053.0,68,5,1.0,0.0,1,1,0,1574.090909090909,16637
2020-07-24,New Mexico,Socorro,35053.0,68,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-25,New Mexico,Socorro,35053.0,68,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-26,New Mexico,Socorro,35053.0,71,5,3.0,0.0,0,0,0,1574.090909090909,16637
2020-07-27,New Mexico,Socorro,35053.0,71,5,0.0,0.0,0,0,0,1574.090909090909,16637
2020-07-28,New Mexico,Socorro,35053.0,71,5,0.0,0.0,0,0,0,1574.090909090909,16637
2020-07-29,New Mexico,Socorro,35053.0,71,5,0.0,0.0,1,1,0,1574.090909090909,16637
2020-07-30,New Mexico,Socorro,35053.0,73,5,2.0,0.0,0,0,0,1574.090909090909,16637
2020-07-31,New Mexico,Socorro,35053.0,73,6,0.0,1.0,1,1,0,1574.090909090909,16637
2020-08-01,New Mexico,Socorro,35053.0,73,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-02,New Mexico,Socorro,35053.0,73,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-03,New Mexico,Socorro,35053.0,73,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-04,New Mexico,Socorro,35053.0,73,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-05,New Mexico,Socorro,35053.0,73,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-06,New Mexico,Socorro,35053.0,73,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-07,New Mexico,Socorro,35053.0,72,6,-1.0,0.0,0,0,0,1574.090909090909,16637
2020-08-08,New Mexico,Socorro,35053.0,73,6,1.0,0.0,1,1,0,1574.090909090909,16637
2020-08-09,New Mexico,Socorro,35053.0,74,6,1.0,0.0,0,0,0,1574.090909090909,16637
2020-08-10,New Mexico,Socorro,35053.0,75,6,1.0,0.0,0,0,0,1574.090909090909,16637
2020-08-11,New Mexico,Socorro,35053.0,75,6,0.0,0.0,1,1,0,1574.090909090909,16637
2020-08-12,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-13,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-14,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-15,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-16,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-17,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-18,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-19,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-20,New Mexico,Socorro,35053.0,75,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-21,New Mexico,Socorro,35053.0,76,6,1.0,0.0,0,0,0,1574.090909090909,16637
2020-08-22,New Mexico,Socorro,35053.0,76,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-23,New Mexico,Socorro,35053.0,76,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-24,New Mexico,Socorro,35053.0,76,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-25,New Mexico,Socorro,35053.0,76,6,0.0,0.0,0,0,0,1574.090909090909,16637
2020-08-26,New Mexico,Socorro,35053.0,77,6,1.0,0.0,0,0,0,1574.090909090909,16637
