date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-23,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-24,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-25,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-26,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-27,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-28,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-29,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-30,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-01-31,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-01,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-02,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-03,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-04,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-05,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-06,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-07,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-08,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-09,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-10,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-11,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-12,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-13,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-14,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-15,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-16,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-17,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-18,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-19,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-20,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-21,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-22,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-23,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-24,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-25,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-26,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-27,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-28,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-02-29,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-01,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-02,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-03,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-04,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-05,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-06,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-07,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-08,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-09,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-10,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-11,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-12,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-13,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-14,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-15,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-16,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-17,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
2020-03-18,Ohio,Columbiana,39029.0,0,0,0.0,0.0,1,1,0,53542.0,101883
