date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-23,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-24,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-25,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-26,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-27,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-28,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-29,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-30,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-01-31,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-01,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-02,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-03,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-04,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-05,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-06,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-07,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-08,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-09,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-10,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-11,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-12,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-13,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-14,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-15,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-16,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-17,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-18,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-19,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
2020-02-20,Ohio,Hocking,39073.0,0,0,0.0,0.0,1,1,0,666.3863636363636,28264
