date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-23,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-24,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-25,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-26,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-27,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-28,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-29,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-30,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-01-31,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-01,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-02,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-03,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-04,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-05,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-06,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-07,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-08,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-09,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-10,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-11,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-12,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-13,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-14,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-15,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-16,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-17,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-18,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-19,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-20,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-21,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-22,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-23,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-24,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-25,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-26,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-27,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-28,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-02-29,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-01,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-02,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-03,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-04,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-05,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-06,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-07,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-08,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-09,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-10,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-11,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-12,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-13,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-14,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-15,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-16,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-17,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-18,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-19,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-20,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-21,Ohio,Portage,39133.0,0,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-22,Ohio,Portage,39133.0,1,0,1.0,0.0,1,1,0,56679.0,162466
2020-03-23,Ohio,Portage,39133.0,2,0,1.0,0.0,1,1,0,56679.0,162466
2020-03-24,Ohio,Portage,39133.0,4,0,2.0,0.0,1,1,0,56679.0,162466
2020-03-25,Ohio,Portage,39133.0,4,0,0.0,0.0,1,1,0,56679.0,162466
2020-03-26,Ohio,Portage,39133.0,8,0,4.0,0.0,1,1,0,56679.0,162466
2020-03-27,Ohio,Portage,39133.0,13,0,5.0,0.0,1,1,0,56679.0,162466
2020-03-28,Ohio,Portage,39133.0,19,0,6.0,0.0,1,1,0,56679.0,162466
2020-03-29,Ohio,Portage,39133.0,27,1,8.0,1.0,1,1,0,56679.0,162466
2020-03-30,Ohio,Portage,39133.0,32,1,5.0,0.0,2,1,0,56679.0,162466
2020-03-31,Ohio,Portage,39133.0,38,1,6.0,0.0,2,1,0,56679.0,162466
2020-04-01,Ohio,Portage,39133.0,44,2,6.0,1.0,2,1,0,56679.0,162466
2020-04-02,Ohio,Portage,39133.0,59,2,15.0,0.0,2,1,0,56679.0,162466
2020-04-03,Ohio,Portage,39133.0,64,2,5.0,0.0,2,1,0,56679.0,162466
2020-04-04,Ohio,Portage,39133.0,74,4,10.0,2.0,2,2,0,56679.0,162466
2020-04-05,Ohio,Portage,39133.0,84,6,10.0,2.0,2,2,0,56679.0,162466
2020-04-06,Ohio,Portage,39133.0,94,7,10.0,1.0,2,2,0,56679.0,162466
2020-04-07,Ohio,Portage,39133.0,101,8,7.0,1.0,2,2,0,56679.0,162466
2020-04-08,Ohio,Portage,39133.0,108,11,7.0,3.0,2,2,0,56679.0,162466
